COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,REVISIÓN O REEVALUACIÓN,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,SUBTIPOLOGÍAS,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,ALCANCE INICIATIVA,DIVISIÓN VINCULADA,CARTERA REZAGO,BENEFICIARIO,SECTOR,SUBSECTOR,MONTO INICIATIVA,MONTO SECTORIAL,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,GASTO SIG. AÑOS,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,N° RATES EMITIDOS,DIAS PARA RESPUESTA,N° ORD. POSTULACIÓN,FECHA ORD. POSTULACIÓN,FECHA RECEPC. GORE,ANALISTA,FECHA ASIGN. ANALISTA,N° ORD.  A MIDESO,FECHA ENVÍO A MIDESO,N° ORD. CORE,FECHA ENVÍO ORD. A CORE,N° CERTIF. RS,FECHA CERTIF. RS,N° CERT.CORE O RES. EXTA INCORP,FECHA CERTIF. APROBADO CORE,"N° MEMO PRESUPESTO
RES. APRUEBA CONV","FECHA ENVÍO A PRESUPUESTO
FECHA CONVENIO",OBSERVACIONES GENERALES,EJE,LINEAMIENTO,OBJETIVO,ACCION,N° EMPLEOS EST. HOMBRE,N° EMPLEOS EST. MUJER,N° EMPLEOS ESTIMADOS,N° BENEF DIRECT HOM,N° BENEF DIRECTOS MUJ,N° BENEF DIRECTOS TOTAL,CONTROL DE DIAS,CONTROL RESPUESTA OBSERVACIONES,N° DIAS RETRASO,RESPONDE OBSERVACIONES,FECHA RESPUESTA INGRESO PRE INVERSIÓN,N° DÍAS A LA ESPERA DE REVISIÓN,PRIORIZADO GOBERNADOR,,,,,,
40013262-2021,EN PRESUPUESTO,2019,2021,40013262,0,ACTUALIZACION PLAN DE DESARROLLO COMUNAL DE BULNES,,ESTUDIO,DIGUILLIN,BULNES,EJECUCIÓN,MIDESO,MIDESO,,31,1,,MUNICIP. BULNES,MUNICIPIO,,,,,BULNES,PLANIFICACION TERRITORIAL,PLADECO,"$48,468",$0,"$48,468",,"M$12,117","M$36,351",,,RS,19-11-2019,,,,,29-04-2019,MARIA JOSE GUTIÉRREZ / MIDESO,29-04-2019,177,30-04-19,269,23-04-2021,,,,,,," // NO PRIORIZA INTENDENTE  16-12-2019//OFICIO DE ENVÍO A CORE ENVIADO A FIRMA DE INTENDENTE POR MEDIO DE MEMO N°57 DEL 25,11,19 DE JEFE DIPLADE // RS MIDESO DEL 19-11-19, SE INFORMA POR CORREO A JEFATURA 19-11-19 PARA PRIORIZACIÓN E INSTRUCCIONES // ENVIADO",,,,,,,,,,,19-11-2019,,NO APLICA,,,,,,,,,,
40013267-2019,NO VIGENTE,2019,2019,40013267,0,DIAGNOSTICO DISEÑO DE LA ARQUITECTURA DE LAS TIC PARA RED DE SALUD ÑUBLE,,ESTUDIO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,,,31,1,,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,,,REGIONAL,SALUD,INFORMATICO,"$82,447",$0,"$82,447",,"M$52,000","M$30,447",REV MDS,,FI,16-12-2019,,,,,01-08-2019,JAVIER BRITO / MIDESO,01-08-2019,339,02-08-19,,,,,,,,," // FI DEL 16-12-2019 MIDESO//ENVIADO A MIDESO POR ORD. 339 DEL 02-08-19 E3958/2019, CARGADO EN BIP 02-08-19 // ORD. DE ENVÍO A MIDESO PARA FIRMA JEFE DIPLADE 01-08-19 // E3917/2019 ASIGNADO ANALISTA PARA REVISIÓN 01-08-19, PROGRAMADO POR CONVENIO PARA 2020 C",,,,,,,,,,,16-12-2019,RECORDAR PLAZO,959,,,,,,,,,,
40013267-2020,EN PRESUPUESTO,2020,2020,40013267,0,DIAGNOSTICO DISEÑO DE LA ARQUITECTURA DE LAS TIC PARA RED DE SALUD ÑUBLE,,ESTUDIO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,MIDESO,,31,1,,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,,,REGIONAL,SALUD,INFORMATICO,"$85,774",$0,"$85,774",,"M$40,442","M$45,332",,,RS,08-05-2020,,,,,05-02-2020,MARIA JOSE GUTIÉRREZ / MIDESO,10-02-2020,102,18-02-20,508,23-06-2020,,,172,07-08-2020,,," // CORREO CON OFICIO A CORE ENVIADO 11-05-20// RS MIDESO 08-05-20 INFORMADO POR CORREO A JEFE DIPLADE 11-05-20// POR CORREO DEL 06-05-20 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES A MIDESO// FI MIDESO 05-03-20 // ADMISIBLE MIDESO 26-02-20 // E7963/2020 ENVIADO A MIDESO PARA REVISIÓN POR ORD. 102 DEL 18-02-20, CARGADO EN BIP 19-02-20 // E7684/2020 INGRESADO PARA ENVÍO A MIDESO, PLAN ÑUBLE, INFORMADO POR CORREO 11-02-20 A JEFES DE DIVISIÓN PARA PRIORIZACIÓN",,,,,,,,,,,08-05-2020,,NO APLICA,,,,,,,,,,
40013281-2019,NO VIGENTE,2019,2019,40013281,0,TRANSFERENCIA APOYO EN INVERSIÓN PRODUCTIVA Y CAPACITACIÓN PARA PEQUEÑAS AGRICULTORAS,,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,,33,3,,INDAP,SECTORIAL / OTRO,,,,,REGIONAL,FOMENTO PRODUCTIVO,AGRICULTURA,"$357,000","$100,000","$257,000",,"M$128,500","M$128,500",REV PREINV,,,,,,,,15-04-2019,JAVIER BRITO,15-04-2019,,,,,,,,,,, // E1936/2019 ASIGNADO ANALISTA PARA REVISIÓN,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013302-2019,NO VIGENTE,2019,2019,40013302,0,TRANSFERENCIA SENSIBILIZACIÓN Y COFINANCIAMIENTO DE PROYECTOS DE INVERSIÓN EN ERNC PARA AUTOAB,,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,,33,3,,CORFO,SECTORIAL / OTRO,,,,,REGIONAL,ENERGIA,AUTOGENERACIÓN,"$720,000","$125,000","$595,000",,"M$595,000",M$0,REVISAR,,,,,,,,14-05-2019,PABLO NUÑEZ,31-05-2019,,,,,,,,,,, // E2413/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013325-2019,NO VIGENTE,2019,2019,40013325,0,"ADQUISICION VEHÍCULOS DE SEGURIDAD CIUDADANA, COMUNA DE YUNGAY",,PROYECTO,DIGUILLIN,YUNGAY,EJECUCIÓN,C-33,,,29,3,,MUNICIP. YUNGAY,MUNICIPIO,,,,,YUNGAY,VEHICULOS,VEHICULOS PARA FUNCIONES OPERATIVAS,"$62,439",$0,"$62,439",,"M$62,439",M$0,REVISAR,,,,,,,,17-04-2019,PABLO NUÑEZ,18-04-2019,,,,,,,,,,, // E1972/2019 ASIGNADO ANALISTA PARA REVISIÓN,,,,,,,,,,,30-12-1899,,NO APLICA,,,,,,,,,,
40013351-2019,NO VIGENTE,2019,2019,40013351,0,TRANSFERENCIA PROGRAMA DESARROLLO ECONÃ¿MICO LOCAL TERRITORIO LAJA DIGUILLIN,,PROGRAMA,DIGUILLIN,DIGUILLIN,EJECUCIÓN,MIDESO,,,31,3,,ASOC DIGUILLIN,MUNICIPIO,,,,,DIGUILLIN,TURISMO Y COMERCIO,"ADMINISTRACION, COMERCIO Y TURISMO","$332,640",$0,"$332,640",,"M$66,280","M$266,360",REVISAR,,,,,,,,30-04-2019,PABLO NUÑEZ,08-05-2019,,,,,,,,,,, // E2228/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013464-2019,NO VIGENTE,2019,2019,40013464,0,"ADQUISICION EXCAVADORA Y CAMA BAJA MUNICIPALIDAD DE SAN FABIAN, ASOCIACION PUNILLA",,PROYECTO,PUNILLA,SAN FABIAN,EJECUCIÓN,C-33,,,29,5,2,ASOCIACIÓN PUNILLA,MUNICIPIO,,,,,SAN FABIAN,MAQUINARIA,MAQUINARIA,"$122,038",$0,"$122,038",,"M$122,038",M$0,REVISAR,,,,,,,,23-04-2019,PABLO NUÑEZ,01-05-2019,,,,,,,,,,," // POR ORD. 065/2019 E3385/2019 PRESIDENTE ASOCIACIÓN PUNILLA SOLICITA REVISIÓN DE PROYECTO, ENVIADO A JEFE DIPLADE POR CORREO 04-7-19  PARA CONOCIMIENTO Y FINES // A LA ESPERA DE PRIORIZACIÓN Y ASIGNACION DE ANALISTA PARA REVISION E2044/2019",,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013464-2020,NO VIGENTE,2020,2020,40013464,0,"ADQUISICION EXCAVADORA Y CAMA BAJA MUNICIPALIDAD DE SAN FABIAN, ASOCIACION PUNILLA",,PROYECTO,PUNILLA,SAN FABIAN,EJECUCIÓN,C-33,,,29,5,2,ASOCIACIÓN PUNILLA,MUNICIPIO,,,,,SAN FABIAN,MAQUINARIA,MAQUINARIA,"$197,108",$0,"$197,108",,"M$197,108",M$0,,,,,,,,,07-02-2020,PABLO NUÑEZ,07-02-2020,,,,,,,,,,," // E7736/2020 ORD N°020 DEL 07-02-2020 PRESENTA INICIATIVAS C33 AÑO PRESUPUESTARIO 2020//ORD N°19 E7293/2020 SE INFORMA A FORMULADOR QUE LA INICIATIVA PRESENTADA QUEDA INADMISIBLE POSTULACIONES NO ESTAN ABIERTAS.//ORD N°009/2020 DEL 10-01-2020 E7117 INGRESA INICIATIVA NO ESTANDO INSTRUCTIVO APROBADO//POR ORD. 065/2019 E3385/2019 PRESIDENTE ASOCIACIÓN PUNILLA SOLICITA REVISIÓN DE PROYECTO, ENVIADO A JEFE DIPLADE POR CORREO 04-7-19  PARA CONOCIMIENTO Y FINES // A LA ESPERA DE PRIORIZACIÓN Y ASIGNACION DE ANALISTA PARA REVISION E2044/2019",,,,,,,,,,,30-12-1899,,NO APLICA,,,,,,,,,,
40013464-2022,VIGENTE,2022,2022,40013464,0,"ADQUISICION EXCAVADORA Y CAMA BAJA MUNICIPALIDAD DE SAN FABIAN, ASOCIACION PUNILLA",,PROYECTO,PUNILLA,SAN FABIÁN,EJECUCIÓN,C-33,C-33 - ACTIVOS NO FINANCIEROS,VEHÍCULOS Y MAQUINARIAS,29,5,,ASOCIACIÓN PUNILLA,MUNICIPIO,ASOCIACIÓN PUNILLA,COMUNAL,,,SAN FABIÁN,MULTISECTORIAL,"INTERSUBSECTORIAL
MULTISECTOR","M$217,946",M$0,"M$217,946","M$217,946","M$217,946",M$0,INGRESADO A PREINVERSIÓN,,SIN RATE,,,,005/2022,15-03-2022,15-03-2022,Sin Analista,,,,,,,,,,,,Recordar Plazo,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.1 MEJORAR LA INFRAESTRUCTURA PÚBLICA Y DE CONECTIVIDAD TERRITORIAL REGIONAL,1.1.1.1 Definir y construir una red vial estructural que permita mejorar la conectividad regional e interregional.,,,,1326,1267,2593,30-12-1899,,,,,,NO,,,,,,
40013750-2021,NO VIGENTE,2021,2021,40013750,0,ACTUALIZACIÓN PLAN COMUNAL DE DESARROLLO DE COBQUECURA,,ESTUDIO,ITATA,COBQUECURA,EJECUCIÓN,MIDESO,,Estudios/Planificación,31,1,0,MUNICIP. COBQUECURA,MUNICIPIO,,,,,COBQUECURA,PLANIFICACION TERRITORIAL,PLADECO,"$46,314",$0,"$46,314",,"M$41,315","M$4,999",,,INADMISIBLE,30-07-2021,0,0,,,01-06-2021,Oscar Diaz Diaz,27-07-2021,,,0,,,,0,,,, SE ENVIA POR MAIL OFICINA DE PARTES EL 09-08-2021 E14428// INICIATIVA INADMISIBLE SEGÚN ACTA DEL 30-07-21 // DERIVADO A OSCAR PARA ADMISIBILIDAD,,,,,0,0,0,0,0,0,NO,NO APLICA CONTROL,NO APLICA,,,,,,,,,,
40013751-2019,NO VIGENTE,2019,2019,40013751,0,CONSTRUCCION ESPACIO DEPORTIVO ANFA BULNES,,PROYECTO,DIGUILLIN,BULNES,DISEÑO,MIDESO,,,31,,,MUNICIP. BULNES,MUNICIPIO,,,,,BULNES,DEPORTES,DEPORTE COMPETITIVO,"$61,280",$0,"$61,280",,"M$61,280",M$0,REVISAR,,,,,,,,30-04-2019,PABLO NUÑEZ,06-05-2019,,,,,,,,,,, // E2167/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013760-2019,NO VIGENTE,2019,2019,40013760,0,CONSTRUCCION CUARTEL DE BOMBEROS 5° COMPAÑIA DE CHILLAN,,PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,,,31,,,BOMBEROS,SECTORIAL / OTRO,,,,,BOMBEROS,SEGURIDAD PUBLICA,SEGURIDAD PUBLICA,"$608,926",$0,"$608,926",,"M$8,926","M$600,000",REV MDS,,FI,17-07-2019,,,,,30-04-2019,MATHIAS PEZO / MIDESO,25-06-2019,300,04-07-19,,,,,,,,," // POR ORD. 300 DE FECHA 04-07-19 E3417/2019 SE ENVIA INICIATIVA A MIDESO, OFICIO CARGADO EN BIP 04-07-19// OFICIO PARA ENVÍO A MIDESO EN FIRMA JEFE DIVISIÓN 03-07-19 // SE ENVÍA CORREO A BOMBEROS PARA COMPLETAR ANTECEDENTES Y PODER ENVIAR A MIDESO 25-06-19/",,,,,,,,,,,17-07-2019,RECORDAR PLAZO,1111,,,,,,,,,,
40013760-2020,NO VIGENTE,2019,2020,40013760,0,CONSTRUCCION CUARTEL DE BOMBEROS 5° COMPAÑIA DE CHILLAN,,PROYECTO,DIGUILLIN,CHILLÁN,EJECUCIÓN,MIDESO,,,31,,,BOMBEROS,SECTORIAL / OTRO,,,,,BOMBEROS,SEGURIDAD PUBLICA,SEGURIDAD PUBLICA,"$624,756",$0,"$624,756",,"M$9,158","M$615,598",,,FI,16-04-2020,,,,,30-04-2019,PABLO NUÑEZ,02-01-2020,15,13-01-20,,,,,,,,," // FI MIDESO 16-04-20// FI DEL 20/01/2020 MIDESO ÑUBLE//REPOSTULACION A MIDESO PROCESO 2020 POR ORD 15.13-01-2020 E7138/2020//POR ORD. 300 DE FECHA 04-07-19 E3417/2019 SE ENVIA INICIATIVA A MIDESO, OFICIO CARGADO EN BIP 04-07-19// OFICIO PARA ENVÍO A MIDESO EN FIRMA JEFE DIVISIÓN 03-07-19 // SE ENVÍA CORREO A BOMBEROS PARA COMPLETAR ANTECEDENTES Y PODER ENVIAR A MIDESO 25-06-19/",,,,,,,,,,,16-04-2020,,NO APLICA,,,,,,,,,,
40013760-2021,VIGENTE,2022,2021,40013760,0,REPOSICION CUARTEL DE BOMBEROS 5° COMPAÑIA DE CHILLAN,,PROYECTO,DIGUILLÍN,CHILLÁN,EJECUCIÓN,MIDESO,MIDESO,BOMBEROS,31,2,,MOP-ARQUITECTURA,SECTORIAL / OTRO,MOP-ARQUITECTURA,COMUNAL,,,CHILLÁN,SEGURIDAD PÚBLICA,SEGURIDAD PÚBLICA,"M$1,613,141",M$0,"M$1,613,141","M$1,613,141","M$644,618","M$968,523",INGRESADO A PREINVERSIÓN,,FI,02-08-2022,,,156,13-07-2022,13-07-2022,Sin Analista,,865,7/14/2022,,,,,,,,,MIDESO: OF N°,1. TERRITORIO Y MEDIO AMBIENTE,1.1 PROMOVER EL DESARROLLO TERRITORIAL DE ÑUBLE DE MANERA INTEGRADA Y EQUITATIVA,1.1.1 MEJORAR LA INFRAESTRUCTURA PÚBLICA Y DE CONECTIVIDAD TERRITORIAL REGIONAL,,,,,148022,232587,380609,02-08-2022,,,,,,NO,,,,,,
40013777-2019,NO VIGENTE,2019,2019,40013777,0,REPOSICION BIBLIOTECA PUBLICA DE COELEMU,,PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,,31,,,MUNICIP. COELEMU,MUNICIPIO,,,,,COELEMU,"EDUCACION, CULTURA Y PATRIMONIO",CULTURA,"$885,060",$0,"$885,060",,"M$295,020","M$590,040",REVISAR,,,,,,,,30-04-2019,PABLO NUÑEZ,08-05-2019,,,,,,,,,,," // POR ORD. 868 DEL 11-10-19 E5378/2019 ALCALDE SOLICITA PRIORIZAR PROYECTO PARA ENVÍO A REVISIÓN MIDESO, INFORMADO A JEFATURAS POR CORREO DEL 15-10-19 // E2193/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA",,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013777-2020,NO VIGENTE,2020,2020,40013777,0,REPOSICION BIBLIOTECA PUBLICA DE COELEMU,,PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,,,31,,,MUNICIP. COELEMU,MUNICIPIO,,,,,COELEMU,"EDUCACION, CULTURA Y PATRIMONIO",CULTURA,"$885,060",$0,"$885,060",,"M$295,020","M$590,040",REVISAR,,,,,,,,28-04-2020,PABLO NUÑEZ,28-04-2020,,,,,,,,,,, // E8926/2020 FALTA PRIORIZACIÓN PARA ENVÍO A MIDESO,,,,,,,,,,,30-12-1899,,NO APLICA,,,,,,,,,,
40013777-2021,EN PRESUPUESTO,2020,2021,40013777,0,REPOSICIÓN BIBLIOTECA PÚBLICA DE COELEMU,,PROYECTO,ITATA,COELEMU,EJECUCIÓN,MIDESO,MIDESO,Infraestructura Pública,31,2,0,MUNICIP. COELEMU,MUNICIPIO,,,,,COELEMU,"EDUCACION, CULTURA Y PATRIMONIO",INFRAESTRUCTURA EDUCACIONAL,"$1,151,993",$0,"$1,109,658",,"M$660,451","M$424,790",,,RS,26-07-2021,,0,,,09-11-2020,JAVIER BRITO,10-11-2020,16,06-01-2021,719,01-09-2021,,,0,,,, ENVIADO A CORE 01-09-21// RS DEL 26-07-21 //OT DEL 27-02-21 //PRIORIZADO Y ENVIADO POR OFICIO N° 16 DEL 16-01-2021 POR MAIL DE OF. DE PARTES //DERIVADO A JAVIER PARA REVISIÓN DE PREADMISIBILIDAD,,,,,,,,,,,NO,YA ESTÁ RS,NO APLICA,,,,SI,,,,,,
40013784-2019,NO VIGENTE,2019,2019,40013784,0,"MEJORAMIENTO DEPENDENCIAS PROGRAMA EQUINOTERAPIA, ESCUELA LLOLLINCO, CHILLAN VIEJO",,PROYECTO,DIGUILLIN,CHILLAN VIEJO,EJECUCIÓN,MIDESO,,,31,,,MUNICIP. CHILLÁN VIEJO,MUNICIPIO,,,,,CHILLAN VIEJO,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN DIFERENCIAL Y ESPECIAL,"$305,182",$0,"$305,182",,"M$305,182",M$0,REVISAR,,,,,,,,30-04-2019,PABLO NUÑEZ,06-05-2019,,,,,,,,,,, // E2162/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013784-2020,NO VIGENTE,2020,2020,40013784,0,"MEJORAMIENTO DEPENDENCIAS PROGRAMA EQUINOTERAPIA, ESCUELA LLOLLINCO, CHILLAN VIEJO",,PROYECTO,DIGUILLIN,CHILLAN VIEJO,EJECUCIÓN,MIDESO,,,31,,,MUNICIP. CHILLÁN VIEJO,MUNICIPIO,,,,,CHILLAN VIEJO,"EDUCACION, CULTURA Y PATRIMONIO",EDUCACIÓN DIFERENCIAL Y ESPECIAL,"$305,182",$0,"$305,182",,"M$305,182",M$0,REVISAR,,,,,,,,30-04-2020,PABLO NUÑEZ,04-05-2020,,,,,,,,,,," // E9004/2020 POSTULA FNDR 2020, PENDIENTE PRIORIZACIÓN PARA ENVÍO A MIDESO.",,,,,,,,,,,30-12-1899,,NO APLICA,,,,,,,,,,
40013789-2019,NO VIGENTE,2019,2019,40013789,0,"CONSTRUCCION CENTRO DEPORTIVO Y CULTURAL DE LA CHILENIDAD, COMUNA DE BULNES",,PROYECTO,DIGUILLIN,BULNES,DISEÑO,MIDESO,,,31,,,MUNICIP. BULNES,MUNICIPIO,,,,,BULNES,"EDUCACION, CULTURA Y PATRIMONIO",CULTURA,"$45,000",$0,"$45,000",,"M$45,000",M$0,NO RECOMEN,,INADMISIBLE,26-06-2019,,,,,30-04-2019,MARIA JOSE GUTIÉRREZ / MIDESO,20-05-2019,,,,,,,,,,," // POR ORD. 348 DEL 26-06-19 E3264/2019 SE INFORMA A FORMULADOR ESTADO INADMISIBLE DE INICIATIVA // SE SOLICITA POR CORREO DEL 20-05-19 CARGAR ARCHIVOS EN EL BIP PARA NO DEJAR INADMISIBLE, PLAZO JUEVES 22-05-19 // ASIGNADO ANALISTA PARA REVISIÓN 20-05-19 //",,,,,,,,,,,26-06-2019,RECORDAR PLAZO,1132,,,,,,,,,,
40013803-2019,NO VIGENTE,2019,2019,40013803,0,CONSTRUCCION MERCADO MUNICIPAL DE SAN FABIÁN,,PROYECTO,PUNILLA,SAN FABIAN,DISEÑO,MIDESO,,,31,2,,MUNICIP. SAN FABIÁN,MUNICIPIO,,,,,SAN FABIAN,INFRAESTRUCTURA PUBLICA,"ADMINISTRACION, COMERCIO Y TURISMO","$215,000",$0,"$215,000",,"M$215,000",M$0,REVISAR,,,,,,,,30-04-2019,PABLO NUÑEZ,08-05-2019,,,,,,,,,,, // E2184/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013819-2021,NO VIGENTE,2019,2021,40013819,0,CONSTRUCCION ELECTRIFICACION RURAL DIVERSOS SECTORES DE TREHUACO,,PROYECTO,ITATA,TREHUACO,EJECUCIÓN,MIDESO,,,31,,,MUNICIP. TREHUACO,MUNICIPIO,,,,,TREHUACO,ENERGIA,ELECTRIFICACIÓN,"$48,713",$0,"$48,713",,"M$48,713",M$0,REV MDS,,FI,26-11-2019,,,,,30-04-2019,JAVIER BRITO / MIDESO,20-06-2019,319,23-07-19,,,,,,,,," // ENVIADO A MIDESO POR ORD. 319 DEL 23-07-19 E3707/2019, CARGADO EN BIP 23-07-19 // OFICIO DE ENVÍO A MIDESO PARA FIRMA JEFE DIPLADE 22-07-19 // POR ORD. 07 DEL 02-07-19 E3410/2019 FORMULADOR INFORMA CARGA DE ANTECEDENTES EN PLATAFORMA PARA PROCEDER A REVIS",,,,,,,,,,,26-11-2019,,NO APLICA,,,,,,,,,,
40013819-2021,EN PRESUPUESTO,2019,2021,40013819,0,CONSTRUCCION ELECTRIFICACION RURAL DIVERSOS SECTORES DE TREHUACO,,PROYECTO,ITATA,TREHUACO,EJECUCIÓN,MIDESO,MIDESO,,31,,,MUNICIP. TREHUACO,MUNICIPIO,,,,,TREHUACO,ENERGIA,ELECTRIFICACIÓN,"$50,008",$0,"$50,008",,"M$50,008",M$0,,,RS,15-05-2020,,,,,17-01-2020,PABLO NUÑEZ,17-01-2020,23,17-01-20,,,,,473,07-09-2021,,," // RS MIDESO DEL 15-05-20 // E8131/2020 POR ORD. 060 DEL 19-02-20 ALCALDE ENVÍA RESPUESTA A OBSERVACIONES, SE LE INFORMA POR CORREO DEL 27-02-20 QUE RESPUESTA DEBE SER ENVIADA A MIDESO// ADMISIBILIDAD INICIATIVA DEL 27-01-2020//ORD N° 000023 E7361/2020 DEL 17-01-2020 INGRESA INICIATIVA AÑO PRESUPUESTARIO 2020 //ENVIADO A MIDESO PARA PROCESO 2020 POR ORD. N°23 DEL 17-01-20 E7289/2020 CARGADO EN BIP MISMO DIA// E7241/2020 POR ORD. 17 DE FECHA 15-01-20 REPOSTULA INICIATIVA PROCESO 2020",,,,,,,,,,,15-05-2020,,NO APLICA,,,,SI,,,,,,
40013846-2019,NO VIGENTE,2019,2019,40013846,0,"CONSTRUCCION ELECTRIFICACION RURAL SECTOR LA LAGUNA, TREHUACO",,PROYECTO,ITATA,TREHUACO,EJECUCIÓN,MIDESO,,,31,,,MUNICIP. TREHUACO,MUNICIPIO,,,,,TREHUACO,ENERGIA,ELECTRIFICACIÓN,"$246,132",$0,"$246,132",,"M$246,132",M$0,REV MDS,,FI,09-08-2019,,,,,30-04-2019,JAVIER BRITO / MIDESO,20-06-2019,318,23-07-19,,,,,,,,," // NO POSTULA A PROCESO 2020 SEGÚN CORREO DE FECHA 16-01-20// ENVIADO A MIDESO POR ORD. 318 DEL 23-07-19 E3706/2019, CARGADO EN BIP 23-07-19 // OFICIO DE ENVÍO A MIDESO PARA FIRMA JEFE DIPLADE 22-07-19 // POR ORD. 07 DEL 02-07-19 E3410/2019 FORMULADOR INFORMA CARGA DE ANTECEDENTES EN PLATAFORMA PARA PROCEDER A REVIS",,,,,,,,,,,09-08-2019,RECORDAR PLAZO,1088,,,,,,,,,,
40013865-2019,NO VIGENTE,2019,2019,40013865,0,TRANSFERENCIA PROGRAMA DE EXPLORACIÓN MINERA PARA LA REGIÓN DE ÑUBLE,,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,,,31,3,,MINERIA,SECTORIAL / OTRO,,,,,REGIONAL,MINERIA,MINERIA,"$546,200",$0,"$546,200",,"M$68,275","M$477,925",REV PREINV,,,,,,,,06-05-2019,JAVIER BRITO / MIDESO,15-05-2019,,,,,,,,,,, // PRIORIZADO Y ASIGNADO ANALISTA 15-05-19 // E2290/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,,,,,,,,,,,30-12-1899,RECORDAR PLAZO,44774,,,,,,,,,,
40013885-2019,NO VIGENTE,2019,2019,40013885,0,CAMION LIMPIA FOSAS COMUNA DE PINTO,,PROYECTO,DIGUILLIN,PINTO,EJECUCIÓN,C-33,,,29,3,,MUNICIP. PINTO,MUNICIPIO,,,,,PINTO,CAMIONES,CAMIONES,"$57,381",$0,"$57,381",,"M$57,381",M$0,REV PREINV,,,,,,,,30-04-2019,ELIAS JARA,15-05-2019,,,,,,,,,,," // PRIORIZADO Y ASIGNADO ANALISTA 15-05-19 // E2213/2019 A LA ESPERA DE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA, IDI SIN TERMINAR EN BIP AL 08-05-19",,,,,,,,,,,30-12-1899,,NO APLICA,,,,,,,,,,
40013885-2021,EN PRESUPUESTO,2021,2021,40013885,0,"ADQUISICIÓN CAMIÓN LIMPIAFOSAS, COMUNA DE PINTO",,PROYECTO,DIGUILLIN,PINTO,EJECUCIÓN,C-33,,Vehículos,29,3,0,MUNICIP. PINTO,MUNICIPIO,,,,,PINTO,VEHICULOS,SANEAMIENTO,"$57,454",$0,"$57,454",,"M$57,454",M$0,,,RS,24-06-2021,2,0,,,14-06-2021,Oscar Diaz Diaz,14-06-2021,,,0,,,,314,25-06-2021,,, // RES. EX 314 DEL 25-06-21 // RS EL 24-06-21 // DERIVADO A OSCAR PARA REVISIÓN,,,,,,,,,,,NO,YA ESTÁ RS,NO APLICA,,,,,,,,,,
