ENROCADO,,,,,,,,,,,,,,,,,,,,,,
C,VIA RECEPCIÓN,NÚMERO DOCUMENTO,TIPO DE DOCUMENTO,FECHA DOCUMENTO,FECHA RECEPCIÓN,FECHA DE ENTREGA,REMITENTE,DESTINATARIO,MATERIA,VIA DISTRIBUCIÓN,ADJUNTO,DERIVADO A: (DIVISIÓN),RECEPCIONADO POR,FECHA,FIRMA,Responsable,Medio derivación,FECHA,Respuesta si/no,Instrucción,Plazo,Observación
3457,EMAIL ,660/61/2024,OFICIO,31-07-24,01-08-24,07-08-24,ALCALDE SUPLENTE MUNICIPALIDAD DE BULNES,GOBERNADOR REGIONAL DE ÑUBLE,"RESPONDE A OFICIO 4C N°1091 DE FECHA 24-07-2024, EN EL CUAL SE SOLICITA INFORMACIÓN DE LAS LICITACIONES NO ADJUDICADAS Y RECLAMACIONES DE TERCEROS, PRESUPUESTO 2024",E-MAIL,,DIPIR,CRISTIAN JAQUE,,,,,,,,,
3456,EMAIL ,S/N,CORREO,01-08-24,01-08-24,01-08-24,FRANCISCA PRENAFETA G. ARQUITECTO,DIVISION DE PRESUPUESTO E INVERSION REGIONAL ,CONSULTA ESTADO DE PAGO N°4,E-MAIL,,DIPIR,,,,,,,,,,
3455,PAPEL,264,ORDINARIO,26-07-24,01-08-24,01-08-24,CARLOS MONTES CISTERNAS MINISTERIO DE VIVIENDA Y ORGANISMO,GOBERNADOR REGIONAL DE ÑUBLE,INFORMA ANTEPROYECTO DEL PLAN SECTORIAL DE MITIGACION DEL MINISTERIO DE VIVIENDA Y URBANISMO Y ACTUALIZACION DEL PLAN DE ADAPTACION AL CAMBIO CLIMATICO PARA CIUDADES,E-MAIL,,DIPLADE,PABLO SAN MARTIN ,,,,,,,,,
3454,EMAIL ,S/N,INVITACION ,01-08-24,01-08-24,01-08-24,ALCALDE DE LA COMUNA DE YUNGAY ,GOBERNADOR REGIONAL DE ÑUBLE,"INVITACIÓN PARA PARTICIPAR EN LA INAUGURACIÓN DE LA DELEGACIÓN MUNICIPAL EN CAMPANARIO, ACTIVIDAD QUE SE REALIZARÁ EL DÍA LUNES 05 DE AGOSTO A LAS 12:00 HORAS",PAPEL,,GABINETE,,,,,,,,,,
3453,PAPEL,S/N,CARTA,20-07-24,01-08-24,01-08-24,SR. FRANCISCO RODRIGO ANDRES SEPULVEDA AVILA REPRESENANTE LEGAL ORQUESTA DE CAMARA DE SAN CARLOS ,GOBERNADOR REGIONAL DE ÑUBLE,ENVIA RENDICION DE CUENTAS MES DE JUNIO CORRESPONDIENTE A TRANSFERENCIA PARA EL ACCESO CULTURAL DE LA REGION DE ÑUBLE,E-MAIL,,UCR,,,,,,,,,,
3452,PAPEL,17,OFICIO ,31-07-24,01-08-24,01-08-24,PEDRO AQUEVEQUE MUÑOZ ENCARGADO PROYECTO FIC UNIVERSIDAD DE CONCEPCION,RAUL SUNICO GALDAMES JEFE DE DIVISION FOMENTO E INDUSTRIA,"ENVIA RESPUESTA A OBSERVACIONES ENVIADAS EN OFICIO 1033 ""TRANSFERENCIA PACHAGING COMPOSTABLE Y ANTIFUNGICO PARA ARANDANOS"". ",PAPEL,,UCR,,,,,,,,,,
3451,PAPEL,69,CARTA,31-07-24,01-08-24,01-08-24,DIRECTORIO CLUB DEPORTIVO LAUTARO DE CHILLAN,GOBERNADOR REGIONAL DE ÑUBLE,CONSIDERACION ,PAPEL,,UCR,,,,,,,,,,
3450,PAPEL,16,OFICIO ,31-07-24,01-08-24,01-08-24,PAMELA WILLIAMS SALINAS ENCARGADA PROYECTO FIC UNIVERSIDAD DE CONCEPCION,RAUL SUNICO GALDAMES JEFE DE DIVISION FOMENTO E INDUSTRIA,"ENVIA RESPUESTA A OBSERVACIONES ENVIADAS EN OFICIO 1032 ""TRANSFERENCIA BIOCARBON, EL DIAMANTE DE ÑUBLE PARA LA AVICULTURA"".",PAPEL ,,UCR,,,,,,,,,,
3449,PAPEL,201,ORDINARIO,25-07-24,01-08-24,01-08-24,JAVIER CHILIAN DIRECTOR REGIONAL INIA,GOBERNADOR REGIONAL DE ÑUBLE,INFORMES SOLICITADOS,PAPEL,,DIPIR - DIFOI,CRISTIAN JAQUE,,,,,,,,,
3448,PAPEL,31,ORDINARIO,30-07-24,01-08-24,01-08-24,GLORIA CARCAMO VARGAS REPRESENTANTE LEGAL FUNDACION MITEA,GOBERNADOR REGIONAL DE ÑUBLE,SOLICITUD DE RECURSOS 2024 MITEA,PAPEL,,ANALISIS Y EVALUACION ,,,,,,,,,,
3447,REVISTA,S/N,REVISTA,01-08-24,01-08-24,01-08-24,REVISTA COMERCIO DE ÑUBLE,GOBERNADOR REGIONAL DE ÑUBLE,REVISTA COMERCIO DE ÑUBLE,PAPEL,,,,,,,,,,,,
3446,PAPEL,S/N,OFICIO,31-07-24,01-08-24,01-08-24,SUSANA CABRERA SEPULVEDA REP.LEGAL ASOC. FUNCIONARIOS DE EDUCACION,GOBERNADOR REGIONAL DE ÑUBLE,ENVIA RENDICION DE CUENTAS CORRESPONDIENTE A SUBVENCION FNDR 8% 2023,PAPEL,,,,,,,,,,,,
3445,PAPEL,167,OFICIO,30-07-24,01-08-24,01-08-24,MARIA TERESA ARAYA JIMENEZ GENERAL DE CARABINEROS,GOBERNADOR REGIONAL DE ÑUBLE,"ENCUESTA DE SEGURIDAD REGION DE ÑUBLE, SOLICITA FACTIBILIDAD DE FINANCIAMIENTO.",PAPEL,,,,,,,,,,,,
3444,PAPEL,553,ORDINARIO,26-07-24,01-08-24,01-08-24,PATRICIO SUAZO ROMERO ALCALDE SUPLENTE I. MUNICIPALIDAD DE SAN IGNACIO,GOBERNADOR REGIONAL DE ÑUBLE,"CONVENIO MANDATO PARA LA EJECUCION DEL PROYECTO ""REPOSICION CANCHA DE FUTBOL CALLE ALEGRE SAN IGNACIO",PAPEL,,DIPIR,CARLOS JUNGJOHANN,,,,,,,,,
3443,PAPEL,S/N,CARTA,25-07-24,01-08-24,01-08-24,JOSEFA CASTRO AMENABAR REPRESENTANTE LEGAL CORP EDUCACIONAL BOSQUE PUDU,GOBERNADOR REGIONAL DE ÑUBLE,ADJUDICACION FONDO REGIONAL DE CULTURA 8& RAICES DEL PALO. FESTIVAL FAMILIAR DE RESCATE CULTURAL.,PAPEL,,DIDESOH,ANDRES LANVANDEROS ,,,,,,,,,
3442,EMAIL ,207,OFICIO ,01-08-24,01-08-24,01-08-24,JAVIER CHILIAN DIRECTOR REGIONAL INIA,GOBERNADOR REGIONAL DE ÑUBLE,"SOLICITUD DE REITEMIZACION DEL PROYECTO ""TRANSFERENCIA MEJORAMIENTO DE LA PRODUCTIVIDAD DEL AVELLANO EUROPEO MEDIANTE MANEJO DEL RIEGO",PAPEL,,DIFOI - UCR,ELIAS JARA ,,,,,,,,,
3441,EMAIL ,318,OFICIO,29-07-54,01-08-24,01-08-24,ALCALDE DE LA MUNICIPALIDAD DE ÑIQUEN ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL - CONSTRUCCIÓN TORRES DE ILUMINACIÓN ESTADIO CHACAY, COMUNA DE ÑIQUÉN",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3440,EMAIL ,319,OFICIO,29-07-54,01-08-24,01-08-24,ALCALDE DE LA MUNICIPALIDAD DE ÑIQUEN ,GOBERNADOR REGIONAL DE ÑUBLE,POSTULACIÓN FRIL - INSTALACIÓN LUMINARIAS EN DISTINTOS SECTORES DE LA COMUNA DE ÑIQUEN.,E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3439,EMAIL ,501,OFICIO,18-06-24,01-08-24,01-08-24,ALCALDE DE LA MUNICIPALIDAD DE COELEMU ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACION FRIL CONSTRUCCION DE CAMARINES Y SSHH CLUB DEPORTIVO RALCO, COMUNA DE COELEMU",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3438,PAPEL,17,OFICIO,31-07-24,01-08-24,01-08-24,PAMELA WILLIAMS SALINAS DIRECTORA PROYECTO FIC BIP 40032555 U. DE CONCEPCION,GOBERNADOR REGIONAL DE ÑUBLE,OBSERVACIONES A RENDICIONES DE CUENTAS BIP 40032555,E-MAIL,,UCR,,,,,,,,,,
3437,PAPEL,16,OFICIO,31-07-24,01-08-24,01-08-24,PAMELA WILLIAMS SALINAS DIRECTORA PROYECTO FIC BIP 40032586 U. DE CONCEPCION,GOBERNADOR REGIONAL DE ÑUBLE,OBSERVACIONES A RENDICIONES DE CUENTAS BIP 40032586,PAPEL,,UCR,,,,,,,,,,
3436,DOCDIGITAL,359,OFICIO ORDINARIO,31-07-24,31-07-24,02-08-24,XIMENA RUZ ESPEJO DIRECTORA EJECUTIVA AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMÁTICO,GOBERNADOR REGIONAL DE ÑUBLE,SOLICITUD DE 2° REMESA 2024 DEL PROGRAMA “TRANSFERENCIA INVERSIÓN TECNOLÓGICA EN PRODUCCIÓN LIMPIA DEL SECTOR PANADERO” CÓDIGO BIP N° 40050712-0. SANTIAGO,PAPEL,,DIFOI ,CAMILA CANAHUATE,,,,,,,,,
3435,DOCDIGITAL,1007,OFICIO ORDINARIO,31-07-24,31-07-24,02-08-24,SR. LUIS FELIPE ANDRÉS RAMOS BARRERA SUBSECRETARIO DE ENERGÍA,GOBERNADOR REGIONAL DE ÑUBLE,DERIVA SOLICITUD DE ACCESO A LA INFORMACIÓN N° AU002T0004234,DOCDIGITAL,,DIPLADE,RUBEN SANDOVAL ,,,,,,,,,
3434,DOCDIGITAL,423,OFICIO ORDINARIO,31-07-24,31-07-24,02-08-24,ALCALDE DE LA COMUNA DE SAN FABIÁN,JEFE DIVISIÓN DE PRESUPUESTO E INVERSIÓN REGIONAL DON JUAN BERNARDO PARADA GONZÁLEZ,RESPUESTA ORD. 4C N° 01091/24.07.2024.,DOCDIGITAL,,DIPIR,JUAN PARADA,,,,,,,,,
3433,EMAIL ,S/N,OFICIO CONDUCTOR ,31-07-24,31-07-24,05-08-24,"RODRIGO MORENO MELLA, UNIVERSIDAD ADVENTISTA DE CHILE ",GOBIERNO REGIONAL DE ÑUBLE ,POSTULACIÓN PROYECTO CÓDIGO BIP: 40066150-0 PROGRAMAS SOCIALES INSTITUCIONES PRIVADAS SIN FINES DE LUCRO FNDR 2024,DOCDIGITAL,,ANALISIS Y EVALUACION,OSCAR DIAZ ,,,,,,,,,
3432,EMAIL ,S/N,CORREO ELECTRONICO,31-07-24,31-07-24,05-08-24,JORGE GONZALEZ OLIVARES SEGURIDAD TÉCNICA COPEC RALLY MOBIL,GOBIERNO REGIONAL DE ÑUBLE ,iNFORMACION SOBRE EVENTO COPEC RALLY MOBIL QUILLON – ÑUBLE 2024,E-MAIL,,GABINETE- ADM ,,,,,,,,,,
3431,EMAIL ,161,OFICIO ,31-07-24,31-07-24,05-08-24,SECRETARIO EJECTUVO DEL CONSEJO REGIONAL DE ÑUBLE ,GOBIERNO REGIONAL DE ÑUBLE ,CERTIFICADOS ASISTENCIA CONSEJERAS Y CONSEJEROS,E-MAIL,,DAF- GABINETE ,,,,,,,,,,
3430,EMAIL ,721,OFICIO ORDINARIO ,31-07-24,31-07-24,05-08-24,ALCALDE DE LA COMUNA DE EL CARMEN ,GOBERNADOR REGIONAL DE ÑUBLE,"SOLICITA TRANSFERENCIA DE RECURSOS E INGRESA DOCUMENTACION DE EP N°1 DEL PROYECTO ""MEJORAMIENTO CANCHA SAN FRANCISCO, COMUNA DE EL CARMEN"". ",E-MAIL,,DIPIR,JORGE OÑATE ,,,,,,,,,
3429,DOCDIGITAL,454,OFICIO ORDINARIO,30-07-24,31-07-24,02-08-24,KARINA SABATTINI MANCHEGO DIRECTORA EJECUTIVA SERVICIO LOCAL DE EDUCACIÓN PÚBLICA PUNILLA CORDILLERA,GOBERNADOR REGIONAL DE ÑUBLE,INFORMA INGRESO DE INICIATIVA DENOMINADA AULAS SIGLO XXI CÓDIGO BIP 40065257,E-MAIL,,DIDESOH,TAMARA VALENZUELA - GABRIELA ,,,,,,,,,
3428,EMAIL ,330,OFICIO ,31-07-24,31-07-24,01-08-24,GERENTE SEDE BIOBIO INFOR ,GOBERNADOR REGIONAL DE ÑUBLE,POSTULACIÓN FRPD - TRANSFERENCIA SUSTENTABILIDAD Y DESARROLLO DE LA CADENA DE VALOR DE LOS BIOCOMBUSTIBLES.,DOCDIGITAL,,DIFOI -,,,,,,,,,,
3427,EMAIL ,331,OFICIO ,31-07-24,31-07-24,01-08-24,GERENTE SEDE BIOBIO INFOR ,GOBERNADOR REGIONAL DE ÑUBLE,POSTULACIÓN FRPD - TRANSFERENCIA SISTEMAS AGROFORESTALES PEQUEÑOS PRODUCTORES REGIÓN DE ÑUBLE.,E-MAIL,,DIFOI,,,,,,,,,,
3426,EMAIL ,636,OFICIO ,29-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE COELEMU,GOBERNADOR REGIONAL DE ÑUBLE,"INGRESO INICIATIVA FRIL - MEJORAMIENTO VIAL, COMUNA DE COELEMU.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3425,EMAIL ,454,OFICIO ,31-07-24,31-07-24,01-08-24,SERVICIO LOCAL DE EDUCACIÓN PUBLICA PUNILLA CORDILLERA ,GOBERNADOR REGIONAL DE ÑUBLE,INGRESO INICIATIVA - ADQUISICIÓN HABILITACIÓN SALAS PARA EL SIGLO XXI.,E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3424,EMAIL ,648,OFICIO ,30-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE YUNGAY ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL - REPOSICIÓN SEDE COMUNITARIA POBLACIÓN LA CONCEPCIÓN, COMUNA DE YUNGAY.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3423,EMAIL ,629,OFICIO ,22-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE BULNES ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL -  MEJORAMIENTO MULTICANCHA POBLACIÓN MATÍAS MADARIAGA 3, COMUNA DE BULNES",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3422,EMAIL ,628,OFICIO ,22-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE BULNES ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL -  MEJORAMIENTO MULTICANCHA POBLACIÓN MATÍAS MADARIAGA 3, COMUNA DE BULNES",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3421,EMAIL ,502,OFICIO ,18-06-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE COELEMU,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL -  CONSTRUCCIÓN CENTRO TEA, COMUNA DE COELEMU.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3420,EMAIL ,958,OFICIO ,02-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE SAN CARLOS ,GOBERNADOR REGIONAL DE ÑUBLE,"CONSTRUCCION SEDE SOCIAL LLAHUIMAVIDA, SAN CARLOS",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3419,EMAIL ,955,OFICIO ,02-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE SAN CARLOS ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL - CONSTRUCCION CENTRO DEPORTIVO VECINAL LAS ARBOLEDAS, SAN CARLOS",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3418,EMAIL ,956,OFICIO ,02-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE SAN CARLOS ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL - CONSTRUCCION SEDE SOCIAL EL BOSQUE, SAN CARLOS",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3417,EMAIL ,957,OFICIO ,02-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE SAN CARLOS ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL -  CONSTRUCCION AREA VERDE NUEVA VIDA, SAN CARLOS",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3416,EMAIL ,826,OFICIO ,29-07-24,31-07-24,01-08-24,ALCALDE DE LA COMUNA DE SAN NICOLAS,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL -CONSTRUCCIÓN ESPACIOS EDUCATIVOS ESCUELAS RURALES DADINCO Y LAJUELAS, SAN NICOLÁS.  POSTULACIÓN FRIL - CONSTRUCCIÓN AULAS TALLERES EXTRAESCOLAR LICEO BICENTENARIO TÉCNICO PUENTE ÑUBLE, SAN NICOLÁS.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3415,EMAIL ,454,OFICIO ,31-07-24,31-07-24,01-08-24,ALCALDE COMUNA DE COBQUECURA ,GOBERNADOR REGIONAL DE ÑUBLE,CAMBIOS EN POSTULACION DE INICIATIVA A MODALIDAD FRIL 2024,E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3414,EMAIL ,450,OFICIO ,30-072024,31-07-24,01-08-24,ALCALDE COMUNA DE COBQUECURA ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL -MEJORAMIENTO ESPACIO CENTRAL LICEO DIEGO MISSENE, COMUNA DE COBQUECURA.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3413,EMAIL ,451,OFICIO ,30-072024,31-07-24,01-08-24,ALCALDE COMUNA DE COBQUECURA ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL -CONSTRUCCION GIMNASIO AL AIRE LIBRE, COMUNA DE COBQUECURA.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3412,EMAIL ,452,OFICIO ,30-072024,31-07-24,01-08-24,ALCALDE COMUNA DE COBQUECURA ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL - CONSERVACIÓN INMUEBLE HOGAR DE ACOGIDA DE ADULTOS MAYORES, COMUNA DE COBQUECURA.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3411,EMAIL ,449,OFICIO ,30-072024,31-07-24,01-08-24,ALCALDE COMUNA DE COBQUECURA ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL -  CONSTRUCCION SEDE SECTOR COLMUYAO, COMUNA DE COBQUECURA.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3410,EMAIL ,511,OFICIO ,26-07-24,31-07-24,01-08-24,ALCALDE SUPLENTE MUNICIPALIDAD DE COIHUECO ,GOBERNADOR REGIONAL DE ÑUBLE,"SOLICITA FINANCIAMIENTO PROYECTO FRIL DENOMINADO “CONSTRUCCIÓN GRADERÍAS CANCHAS DE FÚTBOL, COMUNA DE COIHUECO”, CÓDIGO BIP 40065537-0",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3409,EMAIL ,649,OFICIO,30-07-24,31-07-24,31-07-24,ALCALDE DE LA MUNICIPALIDAD DE YUNGAY ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL - CONSTRUCCION SEDE COMUNITARIA SECTOR EL CASTILLO, COMUNA DE YUNGAY.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3408,PAPEL,3164,DECRETO EXENTO,31-07-24,31-07-24,31-07-24,ALCALDE DE LA MUNICIPALIDAD DE ÑIQUEN ,GOBERNADOR REGIONAL DE ÑUBLE,"REALICESE PARALIZACION TEMPORAL "" CONSTRUCCION DE VEREDAS EN SECTOR EL PEUMO DE ZEMITA, COMUNA DE ÑIQUEN"" ",E-MAIL,,DIPIR ,,,,,,,,,,
3407,PAPEL,3163,DECRETO EXENTO,31-07-24,31-07-24,31-07-24,ALCALDE DE LA MUNICIPALIDAD DE ÑIQUEN ,GOBERNADOR REGIONAL DE ÑUBLE,"REALICESE PARALIZACION TEMPORAL DE LA OBRA DENOMINADA ""CONSTRUCCION DE VEREDAS EN SECTOR SAN FERNANDO DE ZEMITA, COMUNA DE ÑIQUEN"" ",PAPEL,,DIPIR ,,,,,,,,,,
3406,EMAIL ,649,OFICIO ,31-07-24,31-07-24,31-07-24,ALCALDE DE LA MUNICIPALIDAD DE YUNGAY ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL - CONSTRUCCION SEDE COMUNITARIA SECTOR EL CASTILLO, COMUNA DE YUNGAY.",PAPEL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3405,EMAIL ,421,OFICIO ,31-07-24,31-07-24,31-07-24,ALCALDE DE LA COMUNA DE SAN FABIAN ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN FRIL - CONSTRUCCION CAMARINES ESTADIO MUNICIPAL, COMUNA DE SAN FABIÁN",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3404,EMAIL ,535,OFICIO ,31-07-24,31-07-24,31-07-24,ALCALDE DE LA COMUNA DE RANQUIL ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACION FRIL - CONSTRUCCIÓN CAMARINES PARA CANCHA TRABUCO, COMUNA DE RÁNQUIL",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3403,EMAIL ,650,OFICIO ,30-07-24,31-07-24,31-07-24,ALCALDE DE LA MUNICIPALIDAD DE YUNGAY ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACION FRIL - CONSTRUCCIÓN MULTICANCHA SECTOR PANGAL DEL LAJA Y MEJORAMIENTO MULTI. SECTOR CENTRO, YUNGAY",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3402,EMAIL ,332,OFICIO ,30-07-24,31-07-24,31-07-24,"KARINA LUENGO, GERENTE SEDE BIOBIO INSTITUTO FORSTAL ",GOBERNADOR REGIONAL DE ÑUBLE,ENVIA PROGRAMA PARA CONVOCATORIA DEL FONDO REGIONAL PARA LA PRODUCTIVIDAD Y EL DESARROLLO (FRPD) - PROYECTO TRANSFERENCIA NÚCLEOS DE RECOLECTORES/AS DE SEMILLAS FORESTALES NATIVAS REGIÓN DE ÑUBLE.,E-MAIL,,DIFOI,ROLANDO GASSET ,,,,,,,,,
3401,EMAIL ,556,OFICIO ,30-07-24,31-07-24,31-07-24,ALCALDE DE LA COMUNA DE SAN IGNACIO ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN PROYECTO A FUENTE DE FINANCIAMIENTO FONDO REGIONAL DE INICIATIVA LOCAL (FRIL), AÑO 2024 - MEJORAMIENTO ESTADIO SANTA JUANA, SAN IGNACIO.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3400,EMAIL ,255,OFICIO,31-07-24,31-07-24,31-07-24,DIRECTOR REGIONAL DE ARQUITECTURA ,GOBERNADOR REGIONAL DE ÑUBLE,REMITE ANTECEDENTES PARA SU ANALISIS Y PRONUNCIAMIENTO PARA SU ADJUDICACION ,E-MAIL,,DIPIR ,,,,,,,,,,
3399,EMAIL ,36,OFICIO,26-07-24,31-07-24,31-07-24,RECTOR INSTITUTO PROFESIONAL VIRGINIO GOMEZ ,CRISTIAN QUIROZ REYES ,RESPUESTA ,E-MAIL,,DIT,CRISTIAN HAQUIN,,,,,,,,,
3398,EMAIL ,529,OFICIO ORDINARIO ,29-07-24,31-07-24,31-07-24,ALCALDE DE LA COMUNA DE RANQUIL,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN PROYECTO A FUENTE DE FINANCIAMIENTO FONDO REGIONAL DE INICIATIVA LOCAL (FRIL), AÑO 2024 - CONSTRUCCIÓN PLAZA VILLA MAGISTERIO, COMUNA DE RÁNQUIL COMUNA DE PINTO.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3397,DOCDIGITAL,,OFICIO ORDINARIO ,19-07-24,31-07-24,31-07-24,SUBSECRETARÍA DEL MEDIO AMBIENTE,GOBERNADOR REGIONAL DE ÑUBLE,"COMPROBANTE DE RECEPCIÓN DE RECURSOS PROGRAMA DENOMINADO “TRANSFERENCIA PROGRAMA RECAMBIO DE CALEFACTORES CHILLÁN Y CHILLÁN VIEJO”, CÓDIGO BIP 40020934-0.",E-MAIL,,PEN,,,,,,,,,,
3396,DOCDIGITAL,4806,OFICIO ORDINARIO ,30-07-24,31-07-24,31-07-24,DIRECCIÓN NACIONAL DEL SERVICIO CIVIL,GOBERNADOR REGIONAL DE ÑUBLE,NVITA A ENCUENTRO CON ENCARGADOS Y ENCARGADAS DE RECLUTAMIENTO Y SELECCIÓN DE SERVICIOS PÚBLICOS.,DOCDIGITAL,,DAF,CLARA TOLEDO,,,,,,,,,
3395,DOCDIGITAL,421,OFICIO ORDINARIO ,30-07-24,31-07-24,31-07-24,ALCALDE DE LA COMUNA DE SAN FABIAN ,GOBERNADOR REGIONAL DE ÑUBLE,"INGRESA PROYECTO FRIL “CONSTRUCCIÓN CAMARINES ESTADIO MUNICIPAL, COMUNA DE SAN FABIÁN",DOCDIGITAL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3394,EMAIL ,37/24,OFICIO ORDINARIO ,26-07-24,31-07-24,31-07-24,"ADELIO MATAMALA VASQUEZ, RECTOR INSITUTO PROFESIONAL VIRGINIO GOMEZ ",GOBERNADOR REGIONAL DE ÑUBLE,SOLICITUD DE TRANSFERENCIA DE RECURSOS ,DOCDIGITAL,,DIT,CRISTIAN HAQUIN,,,,,,,,,
3393,EMAIL ,1108,OFICIO ORDINARIO ,31-07-24,31-07-24,31-07-24,ALCALDESA DE LA MUNICIPALIDAD DE SAN CARLOS ,GOBERNADOR REGIONAL DE ÑUBLE,SOLICITA INFORMACION DE LICITACIONES NO ADJUDICADASY RECLAMACIONES POR TERCEROS ,E-MAIL,,DIPIR,CRISTIAN JAQUE ,,,,,,,,,
3392,EMAIL ,566,OFICIO ORDINARIO ,26-07-24,31-07-24,31-07-24,ALCALDE DE LA MUNICIPALIDAD DE PINTO ,GOBERNADOR REGIONAL DE ÑUBLE,"POSTULACIÓN PROYECTO A FUENTE DE FINANCIAMIENTO FONDO REGIONAL DE INICIATIVA LOCAL (FRIL), AÑO 2024 - INSTALACION ALUMBRADO PUBLICO CAMINO SAN IGNACIO, PEDERNALES, CAM. VECINAL. COMUNA DE PINTO.",E-MAIL,,ANALISIS Y EVALUACION ,ROLANDO GASSET ,,,,,,,,,
3391,EMAIL ,559,OFICIO ORDINARIO,31-07-24,31-07-24,31-07-24,ALCALDE MUNICIPALIDAD DE SAN IGNACIO,GOBERNADOR REGIONAL DE ÑUBLE,"ENVIA ANTECEDENTES PARA CANCELACION DEL SEGUNDO ESTADO DE PAGO DEL PROYECTO DENOMINADO ""REPOSICION SEDE SOCIAL ADULTO MAYOR JUAN DE DIOS DAVILA, COMUNA DE SAN IGNACIO"". ",E-MAIL,,DIPIR,CARLOS ,,,,,,,,,
