,RESPONSABLE,DE,FOLIO,FECHA DOCTO,PARA:,MATERIA,FIRMA,VÍA DESPACHO,FECHA ENTREGA,OBSERVACIONES,FIRMA RECEPCIÓN,LINK AL DOCUMENTO,
,psms,DIPLADE,00575,02-08-2024,LEILA GASAUI IRRIBARRA,SOLICITA PUBLICAR RESOLUCION EN EL DIARIO OFICIAL ,RUBEN SANDOVAL GANGAS,PAPEL,02-08-2024,,,https://drive.google.com/file/d/1pdwQEfdCJ3xBOys0d8u2VdiFpsaBwTyh/view?usp=drive_link,
,poh,AUD,00574,02-08-2024,ALICIA CONTRERAS VIELMA,INFORME DE REVISIÓN DE TRANSPARENCIA ACTIVA MARZO A MAYO DE 2024.,PAMELA ORELLANA HERRERA,DOCDIGITAL,02-08-2024,,,https://drive.google.com/file/d/1NrtMJXIULw2FVlcvFtU5GkQRfLoZ56cj/view?usp=drive_link,
,cnr,DIFOI,00573,02-08-2024,UNIDAD DE CONTROL DE RENDICIONES,ENVIA RENDICION DE CUENTAS TRANSFERENCIA AGRICULTURA SOSTENIBLE: DEL RESIDUO A LA ENMIENDA,RAUL SUNICO GALDAMES,POR MANO,02-08-2024,,,https://drive.google.com/file/d/1TubwMjY5c9j_ClMbxd8qg4VPknDPltVQ/view?usp=drive_link,
,cnr,DIFOI,00572,02-08-2024,UNIDAD DE CONTROL DE RENDICIONES,ENVIA RENDICION DE CUENTAS TRANSFERENCIA AGRICULTURA SOSTENIBLE: DEL RESIDUO A LA ENMIENDA,RAUL SUNICO GALDAMES,POR MANO,02-08-2024,,,https://drive.google.com/file/d/1sXnUGg2JhH-QBcGfz1deFO8n5B_1ycrz/view?usp=drive_link,
,pnj,DIT,00571,01-08-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40050637-0, MES DE MAYO 2024. TRANSFERENCIA RECARGA DE POZO CON AGUA LLUVIA
PARA USO AGRÍCOLA
",CRISTIAN QUIROZ REYES,DOCDIGITAL,01-08-2024,,,https://drive.google.com/file/d/1JD7Z2IlSbPuZbByxVJM0q4Q3hvGK4kh6/view?usp=drive_link,
,odd,DIPLADE,00570,31-07-2024,TAMARA VALENZUELA FUENTEALBA,ENVÍA APROBACIÓN TÉCNICA DE INICIATIVA “CVC-AD9” EVALUADA POR EL DEPARTAMENTO DE ANÁLISIS Y EVALUACIÓN DIPLADE.,RUBEN SANDOVAL GANGAS,DOCDIGITAL,31-07-2024,,,https://drive.google.com/file/d/1i3a_HQgD0DpaJLkCS46Bien6J8dqEMt8/view?usp=drive_link,
,pnj,DIT,00569,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40035951-0, MES DE JUNIO 2024",CRISTIAN QUIROZ REYES,DOCDIGITAL,31-07-2024,,,https://drive.google.com/file/d/1VVFpIj7HHaWov0pvcpyyCfKhmzhRsNiu/view?usp=drive_link,
,joc,DIPIR,00568,31-07-2024,LEILA GASAUI IRRIBARRA,REMITE SOLICITUD CON NUEVA PROPUESTA DE MODIFICACIÓN PARA CONSIDERAR EN ANALISIS DE REEVALUACIÓN.,CAROLINA SEREY PROVOSTE ,DOCDIGITAL,31-07-2024,,,https://drive.google.com/file/d/1drlRMpxIFKJG1RkLWGd5GXk2RmomfnY2/view?usp=drive_link,
,nlg,DIT,00567,31-07-2024,LEILA GASAUI IRRIBARRA,SOLICITA INSTRUIR PUBLICACIÓN EN EL PORTAL MERCADO PÚBLICO QUE FORMALICE LA CONVOCATORIA A LICITACIÓN PÚBLICA DE LA INICIATIVA “ADQUISICIÓN EQUIPAMIENTO UNIDADES ESPECIALIZADAS” CÓDIGO BIP 40029524-0.,CRISTIAN QUIROZ REYES,DOCDIGITAL,31-07-2024,,,https://drive.google.com/file/d/1uwBHDlPMzJdwwOSXI5Y_6BmDTUVQdRTf/view?usp=drive_link,
,pnj,DIT,00566,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40035951-0, MES DE MAYO 2024.",CRISTIAN QUIROZ REYES,DOCDIGITAL,31-07-2024,,,https://drive.google.com/file/d/1ST48NIKT3ur2bR5u697ew5lK5JUsP7iS/view?usp=drive_link,
,odd,DIPLADE,00565,31-07-2024,TAMARA VALENZUELA FUENTEALBA,ENVÍA APROBACIÓN TÉCNICA DE INICIATIVA “CVC-AD11” EVALUADA POR EL DEPARTAMENTO DE ANÁLISIS Y EVALUACIÓN DIPLADE.,RUBEN SANDOVAL GANGAS,DOCDIGITAL,31-07-2024,,,https://drive.google.com/file/d/11cPZHvuccdz_i7z0feYIUhv4GjNTUUX8/view?usp=drive_link,
,cnr,DIFOI,00564,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA INNOVACION EN ACTIVIDADES VINCULADAS A LA AGRICULTURA EN LA REGION DE ÑUBLE"" MAYO 2024",RAUL SUNICO GALDAMES,POR MANO,31-07-2024,,,https://drive.google.com/file/d/1REsJONZP3c1l9-PCk7Zg0U-ZWiM-I4ZS/view?usp=drive_link,
,cnr,DIFOI,00563,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA INNOVACION EN ACTIVIDADES VINCULADAS A LA AGRICULTURA EN LA REGION DE ÑUBLE"" ABRIL 2024",RAUL SUNICO GALDAMES,POR MANO,31-07-2024,,,https://drive.google.com/file/d/1iQXpR6NQFn4kjYxJ9_zP2MY14C1slT_a/view?usp=drive_link,
,cnr,DIFOI,00562,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA INNOVACION EN ACTIVIDADES VINCULADAS A LA AGRICULTURA EN LA REGION DE ÑUBLE"" MARZO 2024",RAUL SUNICO GALDAMES,POR MANO,31-07-2024,,,https://drive.google.com/file/d/1h72nGAnK8m1WaFWBcznXLzYKohSpzp-S/view?usp=drive_link,
,cnr,DIFOI,00561,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA INNOVACION EN ACTIVIDADES VINCULADAS A LA AGRICULTURA EN LA REGION DE ÑUBLE"" FEBRERO 2024",RAUL SUNICO GALDAMES,POR MANO,31-07-2024,,,https://drive.google.com/file/d/1BFNrmp2rf-Mrou499mkWK5yX3k9ZSirR/view?usp=drive_link,
,cnr,DIFOI,00560,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA INNOVACION EN ACTIVIDADES VINCULADAS A LA AGRICULTURA EN LA REGION DE ÑUBLE"" ENERO 2024",RAUL SUNICO GALDAMES,POR MANO,31-07-2024,,,https://drive.google.com/file/d/14odfcpJPE5NNpKycjGlh_VNYzFpVWq11/view?usp=drive_link,
,cnr,DIFOI,00559,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA INNOVACION EN ACTIVIDADES VINCULADAS A LA AGRICULTURA EN LA REGION DE ÑUBLE"" DICIEMBRE 2023",RAUL SUNICO GALDAMES,POR MANO,31-07-2024,,,https://drive.google.com/file/d/16x_XGyE1h5BJbBJua38fGWzcFvP3XGLj/view?usp=drive_link,
,cnr,DIFOI,00558,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA INNOVACION EN ACTIVIDADES VINCULADAS A LA AGRICULTURA EN LA REGION DE ÑUBLE"" NOVIEMBRE 2023",RAUL SUNICO GALDAMES,POR MANO,31-07-2024,,,https://drive.google.com/file/d/1o-cRxFoe_mcxaLuVPvtUnzegLW12cogs/view?usp=drive_link,
,eja,DIFOI,00557,31-07-2024,UNIDAD DE CONTROL DE RENDICIONES,TRANSFERENCIA TURISMO SUSTENTABLE DE MONTAÑA,RAUL SUNICO GALDAMES,POR MANO,31-07-2024,,,https://drive.google.com/file/d/1_jf5HrDvQLDKcSxAU6BfV5AhDp-ogqMw/view?usp=drive_link,
,cnr,DIFOI,00556,30-07-2024,UNIDAD DE CONTROL DE RENDICIONES,TRANSFERENCIA CENTRON INTEGRAL DE LA MUJER COMUNA DE YUNGAY,RAUL SUNICO GALDAMES,POR MANO,30-07-2024,,,https://drive.google.com/file/d/1e6lITPXIOQpiQCJUCdHmXVTtRvXptgz2/view?usp=drive_link,
,cnr,DIFOI,00555,30-07-2024,UNIDAD DE CONTROL DE RENDICIONES,TRANSFERENCIA PROGRAMA DE RECUPERACION ASISTENCIA ESACOLAR VALLE DEL ITATA,RAUL SUNICO GALDAMES,POR MANO,30-07-2024,,,https://drive.google.com/file/d/1v7NHG0kwxlknvzLagdW4iMLlxg5JnT8Q/view?usp=drive_link,
,eja,DIFOI,00554,30-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"FORTALECIMIENTO Y ATRACCION DE INVERSIONES PRODUCTIVAS DE BASE TECNOLOGICA IFI MODALIDAD INVERSION TENNOLOGICA, REGION DE ÑUBLE",RAUL SUNICO GALDAMES,POR MANO,30-07-2024,,,https://drive.google.com/file/d/1gR121UOguZnbhNGiFad8us_PBnPmcK04/view?usp=drive_link,
,hbn,DIFOI,00553,30-07-2024,LEILA GASAUI IRRIBARRA,SOLICITUD DE ADQUISICIÓN BIENES Y SERVICIOS.,RAUL SUNICO GALDAMES,DOCDIGITAL,30-07-2024,,,https://drive.google.com/file/d/1iU7bS34NANwPgz0BGtBm3sTCecbe37tS/view?usp=drive_link,
,hbn,DIFOI,00552,29-07-2024,LEILA GASAUI IRRIBARRA,SOLICITUD DE ADQUISICIÓN BIENES Y SERVICIOS.,RAUL SUNICO GALDAMES,DOCDIGITAL,29-07-2024,,,https://drive.google.com/file/d/1NH6cNm-qUOqnm3L2HnDxCWeDjopHY0MJ/view?usp=drive_link,
,odd,DIPLADE,00551,29-07-2024,TAMARA VALENZUELA FUENTEALBA,ENVÍA APROBACIÓN TÉCNICA DE INICIATIVA “CVC-AD7” EVALUADA POR EL DEPARTAMENTO DE ANÁLISIS Y EVALUACIÓN DIPLADE.,RUBEN SANDOVAL GANGAS,DOCDIGITAL,29-07-2024,,,https://drive.google.com/file/d/15ZP6Abg6zItlk1Fe_TsB2f-3m24DIH9A/view?usp=drive_link,
,pnj,DIT,00550,29-07-24,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40039275-0, MES DE MAYO 2024.",CRISTIAN QUIROZ REYES,DOCDIGITAL,29-07-2024,,,https://drive.google.com/file/d/1FwYduOqH8vuecnLtFIfHYvWsvT2kk2w2/view?usp=drive_link,
,pnj,DIT,00549,29-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"ENVÍA RENDICIÓN DE CUENTAS PROGRAMA CÓDIGO BIP 40039275-0, MES DE JUNIO 2024.",CRISTIAN QUIROZ REYES,DOCDIGITAL,29-07-2024,,,https://drive.google.com/file/d/1lTxyytT45V1MS1_bAw9f_HgtHgbI8Nka/view?usp=drive_link,
,tvf,DIDESOH,00548,29-07-2024,GOBERNADOR REGIONAL DE ÑUBLE,"INFORMA SOLICITUDES DE FINANCIAMIENTO DEL FONDO “VINCULACIÓN CON LA COMUNIDAD 8% 2024, ASIGNACIONES DIRECTAS, ACTIVIDADES NO CONCURSABLES DEL GOBIERNO REGIONAL”.",TAMARA VALENZUELA FUENTEALBA,DOCDIGITAL,29-07-2024,,,https://drive.google.com/file/d/18H3CLCMuz93gYRhiumVDsXDt53RSe8fb/view?usp=drive_link,
,tvf,DIDESOH,00547,29-07-2024,CARMEN NAVARRETE ,INFORMA APROBACIÓN DE INCREMENTO EN GASTO DE EQUIPAMIENTO DEL PROGRAMA CENTRO INTEGRAL DE LA MUJER DE LA COMUNA DE BULNES,TAMARA VALENZUELA FUENTEALBA,DOCDIGITAL,29-07-2024,,,https://drive.google.com/file/d/1fbTOrf0kwkmZxRRLizjQT1EbIQIYjbH-/view?usp=drive_link,
,cjg,DIPIR,00546,26-07-2024,RUBEN SANDOVAL GANGAS,INVITACIÓN A JORNADA DE COORDINACIÓN,JUAN PARADA GONZALEZ,DOCDIGITAL,26-07-2024,,,https://drive.google.com/file/d/1SsVecnQD9yv4rUb_3O2p09MHMBe8BPyY/view?usp=drive_link,
,jcsz,CONTROL ,00545,26-07-2024,OSCAR CRISOSTOMO LLANOS GOBERNADOR REGIONAL DE ÑUBLE - GOBIERNO REGIONAL DE ÑUBLE,REMITE INFORME TRIMESTRAL SOBRE LA EJECUCIÓN PRESUPUESTARIA PRIMER TRIMESTRE 2024.,JUAN CARLOS SILVA ZAMORANO,DOCDIGITAL,26-07-2024,,,https://drive.google.com/file/d/1MSM3VakXfjBDspDUGb0QvZuVwbbAvq8A/view?usp=drive_link,
,csp,DIPIR,00544,26-07-2024,ANGÉLICA HERRERA MARTÍNEZ COORDINADORA DEPTO. DE PRESUPUESTO GOBIERNO REGIONAL DE ÑUBLE,"REMITE ANTECEDENTES PARA RESCILIACIÓN DE CONVENIO AL PROYECTO “CONSERVACIÓN DISTINTOS CAMINOS RURALES, COMUNA DE EL CARMEN”, CODIGO BIP: 40056100-0, DE ACUERDO A LO INDICADO POR EL DEPTO. DE ANÁLISIS Y EVALUACIÓN DE LA DIVISIÓN DE PLANIFICACIÓN Y DESARROLLO, DE ESTE SERVICIO.",CAROLINA SEREY PROVOSTE COORDINADORA DEPTO. DE INVERSIÓN GOBIERNO REGIONAL DE ÑUBLE,DOCDIGITAL,26-07-2024,,,https://drive.google.com/file/d/1_LsoP3XZj44Fj1pMZHOGZxOhsSuz5ZIF/view?usp=drive_link,
,jrv,DIFOI,00543,25-07-2024,RAUL SUNICO GALDAMES,RENDICION DE CUENTAS: TRANSFERENCIA  DE PROGRAMA MEJORANDO LOS SERVICIOS EDUCATIVOS DE LA COMUNA DE BULNES,RAUL SUNICO GALDAMES,POR MANO,25-07-2024,,,https://drive.google.com/file/d/1c8p2WXsaGlH2lRpEgE2LbenHzxODoDMx/view?usp=drive_link,
,jrv,DIFOI,00542,25-07-2024,RAUL SUNICO GALDAMES,"RENDICION DE CUENTAS: TRANSFERENCIA OPORTUNIDAD DE ACCESO AL APRENDIZAJE PARA TODOS, LICEO BICENTENARIO EXELENCIA POLIVALENTE COMUNA DE SAN NICOLAS",RAUL SUNICO GALDAMES,POR MANO,25-07-2024,,,https://drive.google.com/file/d/1gtS78FwSpaUul9lveF4gL7g-tw9sRFSi/view?usp=drive_link,
,jrv,DIFOI,00541,25-07-2024,RAUL SUNICO GALDAMES,"RENDICION DE CUENTAS: TRANSFERENCIA OPORTUNIDAD DE ACCESO AL APRENDIZAJE PARA TODOS, LICEO BICENTENARIO EXELENCIA POLIVALENTE COMUNA DE SAN NICOLAS",RAUL SUNICO GALDAMES,POR MANO,25-07-2024,,,https://drive.google.com/file/d/1HX-CgwgFH2TEvf9sNTmWKkte4LjVgrM9/view?usp=drive_link,
,jrv,DIFOI,00540,25-07-2024,RAUL SUNICO GALDAMES,"RENDICION DE CUENTAS: TRANSFERENCIA OPORTUNIDAD DE ACCESO AL APRENDIZAJE PARA TODOS, LICEO BICENTENARIO EXELENCIA POLIVALENTE COMUNA DE SAN NICOLAS",RAUL SUNICO GALDAMES,POR MANO,25-07-2024,,,https://drive.google.com/drive/folders/1tFmhgq2u6KK-dKAu6a2_tPzDxTHAItuy?usp=drive_link,
,odd,ANALISIS,00539,25-07-2024,TAMARA VALENZUELA FUENTEALBA,ENVÍA APROBACIÓN TÉCNICA DE INICIATIVA “CVC-AD5” EVALUADA POR EL DEPARTAMENTO DE ANÁLISIS Y EVALUACIÓN DIPLADE.,OSCAR DÍAZ DÍAZ,DOCDIGITAL,25-07-2024,,,,
,odd,ANALISIS,00538,24-07-2024,CAROLINA SEREY PROVOSTE,RESPONDE FUNDAMENTACIÓN TÉCNICA A SOLICITUD DE PROPUESTA MODIFICACIÓN PARA CONSIDERAR ANÁLISIS DE REEVALUACIÓN.,OSCAR DÍAZ DÍAZ,DOCDIGITAL,24-07-2024,,,https://drive.google.com/file/d/10Z-ldvxHsmhoYET1R-bG7GQsYE4qOkIT/view?usp=drive_link,
,jzp,DIFOI,00537,24-07-2024,UNIDAD DE CONTROL DE RENDICIONES,RENDICION DE CUENTAS: FORTALECIMIENTO DEL CAPITAL SOCIAL COMUNITARIO ENFOQUE TERRITORIAL REGION DE ÑUBLE,RAUL SUNICO GALDAMES,POR MANO,24-07-2024,,,https://drive.google.com/file/d/1bMau4tf41Jp_tnHO-k63NZbcY-DrjJYM/view?usp=drive_link,
,jzp,DIFOI,00536,24-07-2024,UNIDAD DE CONTROL DE RENDICIONES,RENDICION DE CUENTAS: FORTALECIMIENTO DEL CAPITAL SOCIAL COMUNITARIO ENFOQUE TERRITORIAL REGION DE ÑUBLE,RAUL SUNICO GALDAMES,POR MANO,24-07-2024,,,https://drive.google.com/file/d/1bMau4tf41Jp_tnHO-k63NZbcY-DrjJYM/view?usp=drive_link,
,eja,DIFOI,00535,23-07-2024,UNIDAD DE CONTROL DE RENDICIONES,RENDICION DE CUENTAS: FORTALECIMIENTO Y ATRACCION DE INVERSIONES PRODUCTIVAS DE BASE TECNOLOGICA IFI MODALIDAD INVERSION TECNOLOGICA REGION DE ÑUBLE,RAUL SUNICO GALDAMES,POR MANO,24-07-2024,,,https://drive.google.com/file/d/1aenB0T085hrf7QpvONivRLkSROxiEh9Z/view?usp=drive_link,
,nlg,DIT,00534,23-07-2024,LEILA GASAUI IRRIBARRA,"SOLICITA INSTRUIR PUBLICACIÓN EN EL PORTAL MERCADO PÚBLICO QUE FORMALICE LA CONVOCATORIA A LICITACIÓN PÚBLICA DE LA INICIATIVA “REPOSICIÓN Y ADQUISICIÓN DE EQUIPOS INFORMÁTICOS, REGIÓN POLICIAL DE ÑUBLE - PDI”, CÓDIGO BIP 40045199-0.",CRISTIAN QUIROZ REYES,DOCDIGITAL,23-07-2024,,,https://drive.google.com/drive/folders/1bQO0XB-p2zuzX2nERE-grCd6VMcZ4lBB?usp=drive_link,
,rbh,DIFOI,00533,19-07-2024,UNIDAD DE CONTROL DE RENDICIONES,RENDICION DE CUENTAS: TRANSFERENCIA MANEJO DE ENFERMEDADES DE MADERA EN VIÑAS DE ÑUBLE.,RAUL SUNICO GALDAMES,POR MANO,19-07-2024,,,https://drive.google.com/drive/folders/1nWqkG8jj1RNjNIvNOrC7GVtAqeHF0L-L?usp=sharing,
,crh,DIFOI,00532,19-07-2024,UNIDAD DE CONTROL DE RENDICIONES,RENDICION DE CUENTAS: PROGRAMA APL VALLE DEL ITATA DESARROLLO VITIVINICOLA SUSTENTABLE. ,RAUL SUNICO GALDAMES,POR MANO,19-07-2024,,,https://drive.google.com/drive/folders/1ufChaJyT0112T3B5Ym9mphNQJ5t4PkiG?usp=sharing,
,crh,DIFOI,00531,19-07-2024,UNIDAD DE CONTROL DE RENDICIONES,RENDICION DE CUENTAS PRGRAMA APL VALLE DEL ITATA DESARROLLO VITIVINICOLA SUSTENTABLE.,RAUL SUNICO GALDAMES,POR MANO,19-07-2024,,,https://drive.google.com/drive/folders/15HsqjJUkhtHBCkCxY8rz9UTClYS70N1K?usp=sharing,
,joc,DIPIR,00530,19-07-2024,OSCAR DIAZ DIAZ ,REMITE SOLICITUD CON NUEVA PROPUESTA DE MODIFICACIÓN PARA CONSIDERAR EN ANALISIS DE REEVALUACIÓN.,CAROLINA SEREY PROVOSTE,DOCDIGITAL,19-07-2024,,,https://drive.google.com/drive/folders/12Ys3KI4mqtdeAF_7K457N2nzrbVIJynA?usp=sharing,
,cnr,DIFOI,00529,18-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA INNOVACION EN USO EFICIENTE DEL RECURSO HIDRICO PARA PEQUEÑA AGRICULTURA ÑUBLE"". JUNIO",RAUL SUNICO GALDAMES,POR MANO,18-07-2024,,,https://drive.google.com/drive/folders/1rjS8SXo-RxhDRHOu4w2a4Y4ZAaLIwOie?usp=sharing,
,lgi,DAF,00528,18-07-2024,JEFES DE DIVISION GORE DE ÑUBLE,"INFORME DE GARANTÍAS VENCIDAS Y POR VENCER POR FIEL CUMPLIMIENTO Y PRORROGA DE GARANTÍA MES DE JULIO, AGOSTO Y SEPTIEMBRE.",LEILA GASAUI IRRIBARRA,DOCDIGITAL,18-07-2024,,,https://drive.google.com/drive/folders/1uwGdM2U0BZIROHcgWTzoZMUqQqbafVJf?usp=sharing,
,pta,DIPIR,00527,18-07-2024,LEILA GASAUI IRRIBARRA,REMITE CERTIFICADO DE FIANZA N° FOLIO B0180523 MAS AVAL. GARANTÍA FIEL CUMPLIMIENTO DEL CONTRATO “CONSTRUCCION CANCHA CENTRO RECREATIVO MUNICIPAL JOSE PEDRO HADI” CÓDIGO BIP 40047232 ID 4174-18-LR24.,JUAN PARADA GONZALEZ,DOCDIGITAL,18-07-2024,,,https://drive.google.com/drive/folders/104MhCPWzt4Xkj48bnF6eBWPTbsR8uK-v?usp=sharing,
,veg,DAF,00526,18-07-2024,LEILA GASAUI IRRIBARRA,RELOJ CONTROL MARCELO BILBAO,VICTOR ESCOBAR GARDELLA,DOCDIGITAL,18-07-2024,,,https://drive.google.com/drive/folders/1MS3QLkuICkrbaBsh_DaUrhHG5JhWCAKX?usp=sharing,
,crh,DIDESOH,00525,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""CENTRO INTEGRAL DE LA MUJER, COMUNA DE COIHUECO"".",TAMARA VALENZUELA FUENTEALBA,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1OPujz32R_KitKb39lj6Pibxs2a70-vGc?usp=drive_link,
,crh,DIDESOH,00524,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""CENTRO INTEGRAL DE LA MUJER, COMUNA DE COIHUECO"".",TAMARA VALENZUELA FUENTEALBA,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1OJmyf8xiVe_hgDQbtpyLgJKdt3QnozCV?usp=drive_link,
,crh,DIDESOH,00523,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""CENTRO INTEGRAL DE LA MUJER, COMUNA DE COIHUECO"".",TAMARA VALENZUELA FUENTEALBA,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1ODy6ismB5r2jm76g9IUdCMT3RUL9_F53?usp=drive_link,
,crh,DIDESOH,00522,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""CENTRO INTEGRAL DE LA MUJER, COMUNA DE COIHUECO"".",TAMARA VALENZUELA FUENTEALBA,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1O2Cj7YgkATWuh8UTU-wd9-c_W6N0rPdJ?usp=drive_link,
,crh,DIDESOH,00521,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""CENTRO INTEGRAL DE LA MUJER, COMUNA DE COIHUECO"".",TAMARA VALENZUELA FUENTEALBA,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1MvR7_SycRGdXpoDfsrKpYNnp8AzCvt1W?usp=drive_link,
,crh,DIDESOH,00520,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""CENTRO INTEGRAL DE LA MUJER, COMUNA DE COIHUECO"".",TAMARA VALENZUELA FUENTEALBA,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1MtyGagcHs3SnR5eTH-fiwMfngRFaIpMH?usp=drive_link,
,jzp,DIFOI,00519,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA SENSORES REMOTOS Y APICULTURA NATURAL REGENERATIVA"".",RAUL SUNICO GALDAMES,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1MsIF2_xKvwktydjxxwKjOjLIHip1AWDo?usp=drive_link,
,jzp,DIFOI,00518,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA OPTIMIZACION DE LA GESTION DE COSECHA EN CEREZA"".",RAUL SUNICO GALDAMES,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1MlyhH5EJvwbeA91LLVtL6BAlG8wKHHcb?usp=drive_link,
,jzp,DIFOI,00517,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA MANEJO HIDRICO SUSTENTABLE DEL CULTIVO DE ARROZ"".",RAUL SUNICO GALDAMES,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1Mi60XSRT-uWqz1UzjiYTk9KuFnGvtYxc?usp=drive_link,
,eja,DIFOI,00516,17-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA MEJORAMIENTO DE LA PRODUCTIVIDAD DEL AVELLANO EUROPEO MEDIANTE MANEJO DEL RIEGO"" ",RAUL SUNICO GALDAMES,POR MANO,17-07-2024,,,https://drive.google.com/drive/folders/1MeZ1j7bXPrbrRdwQPwdaErCqmO-S3Ekv?usp=drive_link,
,cct,JURIDICA,00515,17-07-2024,OSCAR CRISOSTOMO LLANOS,INFORME JURÍDICO INVE. SUM. RES. EX. 179,CLAUDIA CABRERA TORRES,DOCDIGITAL,17-07-2024,DOCUMENTO EN RESERVA CON ANEXO FISICO ENTREGADO POR LIBRO,,https://drive.google.com/drive/folders/1Ma5mVkYwgczOMtMQiSEpp4bjB2dazVV-?usp=drive_link,
,vmi,DIPLADE,00514,15-07-2024,LEILA GASAUI IRRIBARRA,"SE SOLICITA LICITACIÓN PARA LA COMPRA DE SERVICIO DE UNA CONSULTORIA PARA EL PROYECTO “CONSERVACIÓN Y ELABORACIÓN DE DISEÑO REMODELACIÓN DEL ALA ARAUCO, SEGUNDO PISO, EDIFICIO PÚBLICO, COMUNA DE CHILLÁN”",RUBEN SANDOVAL GANGAS,DOCDIGITAL,15-07-2024,,,https://drive.google.com/drive/folders/1N7JB_ena5bKUhWO1N7lYnlCk4-X4mMC1?usp=drive_link,
,jsz,CONTROL ,00513,12-07-2024,RAUL SUNICO ,"REITERA SOLICITUD DE INFORMACIÓN DE PROYECTOS REFERIDA A: INFORMACIÓN DE LICITACIONES NO ADJUDICADAS, RECLAMACIONES DE TERCEROS, PROGRAMACIÓN FLUJOS DE FONDOS, RENDICIONES Y, ESTIMADO DEVENGADO DE GASTO, PRESUPUESTO 2024",JUAN CARLOS SILVA,DOCDIGITAL,12-07-2024,,,https://drive.google.com/drive/folders/1MPBz8PGL_HekJS8Dzu04RbQQCYmxWeCM?usp=drive_link,
,cjg,DIPIR,00512,11-07-2024,LEILA GASAUI IRRIBARRA,"REMITE BOLETA DE GARANTIA # 12266-2 “ADQUISICIÓN MINUBUS PARA TRASLADO DE ESTUDIANTES, COMUNA DE SAN IGNACIO”",JUAN PARADA GONZALEZ,DOCDIGITAL,11-07-2024,,,https://drive.google.com/drive/folders/1FPyjkacxOXlfs3rJXw6Ox7QoQ8TLOQwh?usp=drive_link,
,cnr,DIFOI,00511,11-07-2024,UNIDAD DE CONTROL DE RENDICIONES,"RENDICION DE CUENTAS ""TRANSFERENCIA AGRICULTURA SOSTENIBLE: DEL RESIDUO A LA ENMIENDA"" ",RAUL SUNICO GALDAMES,POR MANO,11-07-2024,,,https://drive.google.com/drive/folders/1F6xCpgs4jT-fOVZFrlgIhj8y52c2CjZK?usp=drive_link,
