COD. ÚNICO,VIGENCIA,AÑO,AÑO PRESP.,BIP,DV,NOMBRE INICIATIVA,TIPO,PROVINCIA,COMUNA,ETAPA,TIPOLOGÍA,Categoría GORE,SUBT,ITEM,ASIG,FORMULADOR,ORIGEN,UNIDAD TÉCNICA,DIVISIÓN VINCULADA,MONTO INICIATIVA,MONTO FNDR,MONTO FINAL APROB.,GASTO VIGENTE,ESTADO ACTUAL,FECHA ESTADO ACTUAL,RATE ACTUAL,FECHA ULTIMO RATE,OBSERVACIONES GENERALES,_source_file,_cleaned_at
40017853-2019,NO VIGENTE,2019,2019,40017853,0,ADQUISICIÓN DE VEHÍCULOS PARA PREVENCIÓN Y COMBATE DE INCENDIOS FORESTALES,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,,29,0,0,CONAF,SECTORIAL / OTRO,,,"$424,235","$424,235",,M$0,NO RECOMEN,,FI,16-12-2019,"// FI DEL 16-12-19 INFORMADO POR CORREO EL MISMO DIA//ASIGNADO ANALISTA ELIAS JARA 11-12-19//E6294/2019 PENDIENTE A PRIORIZACIÓN Y ASIGNACIÓN ANALISTA, INFORMADA POSTULACIÓN A JEFATURAS POR CORREO DEL 09-12-19",ANÁLISIS.csv,2025-12-23T05:39:40.780774
40018003-2019,NO VIGENTE,2019,2019,40018003,0,CONSTRUCCION DESARROLLO INFRAESTRUCTURA DE TELECOMUNICACIONES EN LA REGIÓN DE ÑUBLE,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,MIDESO,,31,2,,TRANSPORTE SUBTEL,SECTORIAL / OTRO,,,"$663,505","$663,505",,"M$663,505",REV MDS,,FI,25-11-2019,"// FI DEL 25/11/2019 MIDESO ÑUBLE//POR CORREO DEL 12-11-19 MIDESO INFORMA QUE PROYECTO ES DE COMPETENCIA CENTRA, POR LO QUE FUE DERIVADO A ESTA // ENVIADO A MIDESO POR ORD. 692 DEL 07-11-19 E5811/2019, CARGADO EN BIP MISMO DIA // OFICIO DE ENVÍO A MIDESO PAR",ANÁLISIS.csv,2025-12-23T05:39:40.780916
40018095-2020,NO VIGENTE,2020,2020,40018095,0,REPOSICION AMBULANCIAS APS SERVICIO DE SALUD ÑUBLE,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,,29,0,0,S.SALUD ÑUBLE,SECTORIAL / OTRO,,,"$1,857,972","$1,857,972",,"M$1,857,972",,,ADMISIBLE,20-03-2020,"// E8701/2020 INGRESA ORD. 3C/N°417 DEL 20-03-20 // POR CORREO DEL 20-03-20 DE RAUL MOLINA, SE INGRESA ORDINARIO 3C/N°417 DEL 20,03,20 CON REQUERIMIENTOS DE PROYECTOS PRODUCTO DEL COVID-19//FI DEL 19-03-20 INFORMADO POR CORREO MISMO DIA // ASIGNADO ANALISTA PARA REVISIÓN 17-03-20 // E7684/2020 POSTULA INICIATIVA, INFORMADO POR CORREO A JEFES DIVISIÓN 10-02-20 PARA DETERMINAR PRIORIZACIÓN",ANÁLISIS.csv,2025-12-23T05:39:40.780967
40018342-2021,NO VIGENTE,2019,2021,40018342,0,TRANSFERENCIA DESARROLLO DE LA FRUTICULTURA EN ÑUBLE PARTE II,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,3,,INDAP,SECTORIAL / OTRO,,,"$1,000,000","$800,000",,M$0,APRO CORE,,,,// E5235/2019 PENDIENTE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,ANÁLISIS.csv,2025-12-23T05:39:40.781089
40018349-2019,NO VIGENTE,2019,2019,40018349,0,CONSTRUCCION SANEAMIENTO SANITARIO VILLA LOS ARTESANOS COMUNA DE NINHUE,PROYECTO,ITATA,NINHUE,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. NINHUE,MUNICIPIO,,,"$380,812","$380,812",,"M$380,812",REV MDS,,FI,06-11-2019,"// FI DEL 06/11/2019 MIDESO ÑUBLE// ENVIADO A MIDESO POR ORD. 411 DEL 14-10-19 E5370/2019, CARGADO EN BIP MISMO DIA // OFICIO DE ENVÍO MIDESO PARA FIRMA JEFE DIPLADE 10-10-19 // E5244/2019 ASIGNADO ANALISTA PARA REVISIÓN",ANÁLISIS.csv,2025-12-23T05:39:40.781178
40018365-2020,NO VIGENTE,2019,2020,40018365,0,TRANSFERENCIA APOYO PRODUCTORES DE UVA DEL VALLE DEL ITATA,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,3,,INDAP,SECTORIAL / OTRO,,,"$664,000","$398,400",,M$0,APRO CORE,,RS,12-11-2019,// CERTIFICADO LLEGA POR ORD. 4-2020 DE FECHA 30-12-20 E7922/2020 //APROBADO EN SESION CORE DE FECHA 04-12-19// EN COMISION CORE 19-11-19 // ENVIADO A CORE POR ORD. 439 DEL 15-11-19 E5918/2019// RS DEL 14-11-19 INFORMADO POR CORREO MISMO DIA // POR ORD. 052359 DEL 18-10-19 E5531/2019 FORMULADOR INFORMA CORRECCIÓN DE OBS,ANÁLISIS.csv,2025-12-23T05:39:40.781354
40018366-2019,NO VIGENTE,2019,2019,40018366,0,"EQUIPAMIENTO SISTEMA DE TELECOMUNICACIONES DE EMERGENCIA, REGIÓN DE ÑUBLE",PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,,29,,,ONEMI,SECTORIAL / OTRO,,,"$264,112","$264,112",,"M$264,112",NO RECOMEN,,FI,04-11-2019,// POR CORREO DEL 09-12-19 FORMULADOR SOLICITA AUMENTO DE PLAZO PARA DAR RESPUESTA A OBS. HASTA EL 15-01-20//POR CORREO DEL 13-11-19 SE AUTORIZA AUMENTO DE PLAZO PARA DAR RESPUESTA A OBSERVACIONES CON TOPE AL 02-12-19 // FI DEL 04-11-19 INFORMADO POR CORREO,ANÁLISIS.csv,2025-12-23T05:39:40.781405
40018459-2020,NO VIGENTE,2020,2020,40018459,0,"CONSTRUCCIÓN SISTEMA DE AGUA POTABLE COLECTIVO LA INVERNADA, COMUNA DE PINTO",PROYECTO,DIGUILLIN,PINTO,EJECUCIÓN,MIDESO,,31,2,0,MUNICIP. PINTO,MUNICIPIO,,,"$1,749,481","$1,749,481",,"M$874,740",,,OT,20-03-2020,"// OT MIDESO 20-03-20 // ADMISIBLE MIDESO 09-03-20 // E8257/2020 POR ORD. 148 DEL 28-02-20 SE ENVÍA A REVISIÓN MIDESO, CARGADO EN BIP MISMO DIA// ASIGNADO ANALISTA PARA REVISIÓN  27-02-20 // POSTULA ETAPA EJECUCIÓN E7428/2020, 22-01-20 SE ENVÍA CORREO A JEFATURA PARA DETERMINAR PRIORIZACIÓN",ANÁLISIS.csv,2025-12-23T05:39:40.781457
40018463-2020,NO VIGENTE,2020,2020,40018463,0,"ADQUISICION DE 2 CAMIONES TOLVA PARA MANTENCION VIAL DE LA COMUNA DE COIHUECO, ASOCIACION P",PROYECTO,PUNILLA,COIHUECO,EJECUCIÓN,C-33,,29,0,0,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$241,545","$241,545",,"M$241,545",REVISAR,,,,// E7736/2020 	ORD N°020 DEL 07-02-2020 PRESENTA INICIATIVAS C33 AÑO PRESUPUESTARIO 2020//ORD N°19 E7293/2020 SE INFORMA A FORMULADOR QUE LA INICIATIVA PRESENTADA QUEDA INADMISIBLE POSTULACIONES NO ESTAN ABIERTAS.//ORD N°010 DEL 10-01-2020 E7121/2020 INICIATIVA QUEDA INADMISIBLE POSTULA 2020 NO ESTANDO LOS INSTRUCTIVOS APROBADOS,ANÁLISIS.csv,2025-12-23T05:39:40.781511
40018466-2020,NO VIGENTE,2020,2020,40018466,0,"ADQUISICION CAMION DOBLE CABINA COMUNA DE ÑIQUEN, ASOC. PUNILLA",PROYECTO,PUNILLA,ÑIQUÉN,EJECUCIÓN,C-33,,29,0,0,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$36,688","$36,688",,"M$36,688",REVISAR,,,,// E7736/2020 	ORD N°020 DEL 07-02-2020 PRESENTA INICIATIVAS C33 AÑO PRESUPUESTARIO 2020//ORD N°19 E7293/2020 SE INFORMA A FORMULADOR QUE LA INICIATIVA PRESENTADA QUEDA INADMISIBLE POSTULACIONES NO ESTAN ABIERTAS.//ORD N°013 DEL 15-01-2020 E7206/2020 INICIATIVA QUEDA INADMISIBLE POSTULA 2020 NO ESTANDO LOS INSTRUCTIVOS APROBADOS,ANÁLISIS.csv,2025-12-23T05:39:40.781599
40018468-2020,NO VIGENTE,2020,2020,40018468,0,"ADQUISICION ADQUISICIO CAMION DOBLE CABINA COMUNA DE SAN CARLOS, ASOC. PUNILLA.",PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,C-33,,29,0,0,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$36,688","$36,688",,"M$36,688",REVISAR,,,,// E7736/2020 	ORD N°020 DEL 07-02-2020 PRESENTA INICIATIVAS C33 AÑO PRESUPUESTARIO 2020//ORD N°19 E7293/2020 SE INFORMA A FORMULADOR QUE LA INICIATIVA PRESENTADA QUEDA INADMISIBLE POSTULACIONES NO ESTAN ABIERTAS.//ORD N°014 DEL 15-01-2020 E7205/2020 INICIATIVA QUEDA INADMISIBLE POSTULA 2020 NO ESTANDO LOS INSTRUCTIVOS APROBADOS,ANÁLISIS.csv,2025-12-23T05:39:40.781684
40018787-2021,NO VIGENTE,2021,2021,40018787,0,TRANSFERRENCIA REVALORIZACIÓN DE LA CHICHA TRADICIONAL DEL VALLE DEL ITATA,PROGRAMA,ITATA,ITATA,EJECUCIÓN,GLOSA 5.1,Fomento/Turismo/Innovación,33,3,0,INIA,SECTORIAL / OTRO,,,"$410,000","$410,000",,"M$205,000",,,REEMP,10-08-2021,DESISTE DE INICIATIVA SEGÚN ORD 167 DEL 10-08-2021// DERIVADO A JAVIER PARA ADMISIBILIDAD,ANÁLISIS.csv,2025-12-23T05:39:40.781773
40018795-2020,NO VIGENTE,2019,2020,40018795,0,"MEJORAMIENTO PLANTA DE TRATAMIENTOS DE AGUAS SERVIDAS, NUEVA ALDEA",PROYECTO,ITATA,RÁNQUIL,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. RÁNQUIL,MUNICIPIO,,,"$934,228","$934,228",,"M$934,228",REV MDS,,OT,09-03-2020,"// OT MIDESO 09-03-20 // ADMISIBLE MIDESO 24-02-20 // E7888/2020 SE ENVÍA OFICIO 94 DEL 13-02-20 A MIDESO PARA EVALUACIÓN, CARGADO EN BIP 14-02-20 // SE ENVIA CORREO DEL 22-01-2020 A FORMULADOR PARA SUBSANAR OBSERVACIONES//ASIGNADO MATHIAS PEZO PARA REVISIÓN ADMISIBILIDAD Y ENVÍO A MIDESO 22-01-20// SE INFORMA POSTULACIÓN DE PROYECTO A JEFATURAS POR CORREO DEL 08-11-19 // E5821/2019 PENDIENTE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA",ANÁLISIS.csv,2025-12-23T05:39:40.781828
40018803-2021,NO VIGENTE,2019,2021,40018803,0,TRANSFERENCIA APOYO PRODUCTORES DE VINO DE VALLE DEL ITATA,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,,,INDAP,SECTORIAL / OTRO,,,"$1,623,000","$1,449,000",,M$0,REVISAR,,,,// E5770/2019 PENDIENTE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,ANÁLISIS.csv,2025-12-23T05:39:40.781882
40018870-2021,EN PRESUPUESTO,2020,2021,40018870,0,TRANSFERENCIA OBRAS ASOCIATIVAS EN RIEGO. REGION DE ÑUBLE,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,0,0,INDAP,SECTORIAL / OTRO,,,"$2,559,600","$2,079,600",,"M$1,039,800",,,RS,01-04-2020,"// APROBADO CORE SEGÚN CERTIFICADO 117 DEL 07-05-20 ENVIADO POR CORREO 08-05-20// APROBADO EN SESION 06-05-20// APROBADO EN COMISIÓN CORE 21-04-20// E8823/2020 DEL 14-04-20// ENVIADO A CORE POR ORD. 184 DEL 09-04-20, SOLICITANDO DISTRIBUCIÓN POR CORREO DEL 14-04-20 A OFICINA DE PARTES// OFICIO DE ENVÍO A CORE POR CORREO A JEFE DIPLADE PARA TRAMITACIÓN FIRMA INTENDENTE CON JEFE DE GABINETE 02-04-20// RS DEL 01-04-20 INFORMADO POR CORREO A FORMULADOR 02-04-20// E8568/2020 POR ORD. 012002 DEL 11-03-20 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES, DERIVADO ANALISTA PARA REVISIÓN 13-03-20 // POR CORREO DEL 04-03-20 FORMULADOR SOLICITA AUMENTO DE PLAZO PARA SUBSANAR OBSERVACIONES HASTA EL 11-03-20 // FI DEL 28-02-20 INFORMADO POR CORREO A FORMULADOR // ASIGNADO ANALISTA POR CORREO 27-02-20 // E7902/2020 INICIATIVA ES INGRESADA NUEVAMENTE POR ORD. 007819 DE FECHA 13-02-2020 // INICIATIVA INGRESA 20-01-2020 A DEPARTAMENTO PREINVERSION.",ANÁLISIS.csv,2025-12-23T05:39:40.781987
40019013-2019,NO VIGENTE,2019,2019,40019013,0,"CONSERVACION RUTA N-684, CRUCE RUTA 5 (LOS COLIHUES)- PELEHUITO",PROYECTO,DIGUILLIN,DIGUILLIN,EJECUCIÓN,C-33,,31,,,MOP-VIALIDAD,SECTORIAL / OTRO,,,"$389,583","$389,583",,M$0,REV PREINV,,,,// E5924/2019 ASIGNADO ANALISTA PARA REVISIÓN,ANÁLISIS.csv,2025-12-23T05:39:40.782031
40019358-2020,NO VIGENTE,2019,2020,40019358,0,CONSTRUCCION PISCINA TEMPERADA LICEO POLIVALENTE SAN NICOLAS,PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,,31,2,,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,"$2,954,000","$2,954,000",,M$0,NO PRIO INTEN MDS,,,,// SE ENVÍA CORREO A JEFATURAS PARA PRIORIZACIÓN 28-11-19// E6134/2019 PENDIENTE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,ANÁLISIS.csv,2025-12-23T05:39:40.782115
40019425-2019,NO VIGENTE,2019,2019,40019425,0,TRANSFERENCIA DIFUSION Y PROMOCION DE LA REGION DE ÑUBLE,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,,,SERNATUR,SECTORIAL / OTRO,,,"$686,000","$686,000",,M$0,CORE ÑUBLE,,RS,29-11-2019,// RS DEL 29-11-19 SE ENVIA A CORE POR ORD. 450 DEL 29-11-19// POR CORREO DEL 28-11-19 SE INFORMA POSTULACIÓN A JEFATURAS PARA INSTRUCCIONES // E6172/2019 PENDIENTE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA,ANÁLISIS.csv,2025-12-23T05:39:40.782178
40019524-2019,NO VIGENTE,2019,2019,40019524,0,"CONSTRUCCIÓN INFRAESTRUCTURA BRIGADA HELITRANSPORTADA, AERÓDROMO BERNARDO OHIGGINS",PROYECTO,DIGUILLIN,CHILLÁN,DISEÑO,MIDESO,,31,2,0,CONAF,SECTORIAL / OTRO,,,"$158,409","$158,409",,"M$95,045",REV PREINV,,,,"// SE ENVIA CORREO DEL 11-12-19 A FORMULADOR PARA QUE SUBSANE OBSERVACIONES //E6294/2019 PENDIENTE A PRIORIZACIÓN Y ASIGNACIÓN ANALISTA, INFORMADA POSTULACIÓN A JEFATURAS POR CORREO DEL 09-12-19",ANÁLISIS.csv,2025-12-23T05:39:40.782259
40019544-2020,NO VIGENTE,2019,2020,40019544,0,"CONSTRUCCIÓN BASE DE BRIGADAS DE PREVENCIÓN Y COMBATE DE INCENDIOS FORESTALES, NINHUE",PROYECTO,ITATA,NINHUE,DISEÑO,MIDESO,,31,2,0,CONAF,SECTORIAL / OTRO,,,"$93,052","$93,052",,M$0,NO PRIO INTEN MDS,,,,"// E6294/2019 PENDIENTE A PRIORIZACIÓN Y ASIGNACIÓN ANALISTA, INFORMADA POSTULACIÓN A JEFATURAS POR CORREO DEL 09-12-19",ANÁLISIS.csv,2025-12-23T05:39:40.782355
40019625-2019,NO VIGENTE,2019,2019,40019625,0,"CONSERVACIÓN RUTA N-884, CRUCE RUTA 5 (SANTA CLARA) - PUENTE PAL PAL - BALSA CERRO NEGRO",PROYECTO,DIGUILLIN,BULNES,EJECUCIÓN,C-33,,31,0,0,MOP-VIALIDAD,SECTORIAL / OTRO,,,"$680,329","$680,329",,M$0,REV PREINV,,,,"// E6390/2019 INGRESADO A PREINVERSIÓN EL 09-12-19, ASIGNADO ANALISTA PARA REVISIÓN MATHIAS PEZO",ANÁLISIS.csv,2025-12-23T05:39:40.782402
40019695-2020,NO VIGENTE,2019,2020,40019695,0,"MEJORAMIENTO DIVERSAS CALLES VILLA PRIMAVERA I Y II, PUEBLO SECO, COMUNA DE SAN IGNACIO.",PROYECTO,DIGUILLIN,SAN IGNACIO,EJECUCIÓN,MIDESO,,31,,,MUNICIP. SAN IGNACIO,MUNICIPIO,,,"$999,843","$999,843",,M$2,APRO CORE,,INADMISIBLE,13-12-2019,"// POR ORDINARIO N° 462 DEL 13-12-19 E6591/2019//E6464/2019 POSTULA PROCESO PRESUPUESTARIO 2019 Y DE ACUERDO A LO INFORMADO EN OFICIO 398 DEL 11-07-19 DEBE POSTULARA APROCESO 2020, SE INFORMA INADMISIBILIDA POR OFICIO",ANÁLISIS.csv,2025-12-23T05:39:40.782540
40019780-2020,NO VIGENTE,2020,2020,40019780,0,CAPACITACION PROYECTO EDUCACIONAL EDUCACIONAL VALLE DEL ITATA,PROGRAMA,ITATA,ITATA,EJECUCIÓN,GLOSA 5.1,,33,0,0,ASOCIACIÓN ITATA,MUNICIPIO,,,"$4,906,104","$4,906,104",,"M$1,182,348",REVISAR,,,,// SE ENVÍA CORREO A JEFATURAS 09-01-2020 PARA PRIORIZACIÓN DE REVISION//,ANÁLISIS.csv,2025-12-23T05:39:40.783775
40019791-2020,EN PRESUPUESTO,2020,2020,40019791,0,"CONSTRUCCIÓN 2 CANCHAS DE TENIS, COMUNA DE SAN FABIÁN",PROYECTO,PUNILLA,SAN FABIAN,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. SAN FABIÁN,MUNICIPIO,,,"$60,000","$60,000",,"M$60,000",,,RS,22-06-2020,"// RS DEL 22-06-20 // POR CORREO DEL 14-04-20 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES// FI DEL 02-04-20 INFORMADO POR CORREO A FORMULADOR// ADMISIBLE PARA REVISIÓN GORE INFORMADO POR CORREO 31-03-20// E8733/2020 POSTULADO FRIL 2020, ASIGNADO ANALISTA PARA REVISIÓN 27-03-20",ANÁLISIS.csv,2025-12-23T05:39:40.784307
40019907-2020,NO VIGENTE,2020,2020,40019907,0,ADQUISICIÓN EQUIPAMIENTO TECNOLÓGICO DE CRIMINALÍSTICA REPOL ÑUBLE - PDI,PROYECTO,REGIONAL,REGIONAL,EJECUCIÓN,C-33,,29,0,0,PDI,SECTORIAL / OTRO,,,"$408,630","$408,630",,"M$408,630",REV PREINV,,EN REVISIÓN,,// SE ASIGNA A ANALISTA MATHIAS PEZO PARA REVISIÓN 08-06-2020,ANÁLISIS.csv,2025-12-23T05:39:40.784397
40020043-2020,NO VIGENTE,2020,2020,40020043,0,"ADQUISICION CONTENEDORES PARA RESIDUOS DOMICILIARIOS, COMUNA COBQUECURA",PROYECTO,ITATA,COBQUECURA,EJECUCIÓN,C-33,,29,0,0,MUNICIP. COBQUECURA,MUNICIPIO,,,"$25,448","$25,448",,"M$25,448",REVISAR,,EN REVISIÓN,17-01-2020,// DERIVADO A JORGE OÑATE 25-05-20 PARA POSTERIOR REVISIÓN//ORD N° 000020 E7292/2020 SE INFORMA A FORMULADOR QUE LA INICIATIVA PRESENTADA QUEDA INADMISIBLE POSTULACIONES NO ESTAN ABIERTAS.//ORD N°47 DEL 15-01-2020 E7221/2020INICIATIVA QUEDA INADMISIBLE POSTULA 2020 NO ESTANDO LOS INSTRUCTIVOS APROBADOS,ANÁLISIS.csv,2025-12-23T05:39:40.784476
40020095-2020,NO VIGENTE,2020,2020,40020095,0,"ADQUISICÓN CAMIÓN ALZA HOMBRE, COMUNA DE SAN CARLOS, ASOC. PUNILLA",PROYECTO,PUNILLA,PUNILLA,EJECUCIÓN,C-33,,29,0,0,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$93,831","$93,831",,"M$93,831",,,,,"// E8709/2020 POSTULADO C-33 2020, PENDIENTE PRIORIZACIÓN Y ASIGNACIÓN ANALISTA PARA REVISIÓN",ANÁLISIS.csv,2025-12-23T05:39:40.784545
40020099-2020,NO VIGENTE,2020,2020,40020099,0,"ADQUISICIÓN CAMIÓN ALZA HOMBRE, COMUNA DE SAN FABIÁN, ASOC. PUNILLA",PROYECTO,PUNILLA,SAN FABIAN,EJECUCIÓN,C-33,,29,0,0,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$93,831","$93,831",,"M$93,831",REVISAR,,,,"// E8189/2020 INGRESADO PARA REVISIÓN POR ORD. 021/2020 DE FECHA 27-02-20, SIN ASIGNAR ANALISTA",ANÁLISIS.csv,2025-12-23T05:39:40.795020
40020162-2020,NO VIGENTE,2020,2020,40020162,0,CONSTRUCCIÓN POSTA PARA SECTOR LOS AROMOS COMUNA DE SAN NICOLÁS,PROYECTO,PUNILLA,SAN NICOLÁS,DISEÑO,MIDESO,,31,0,0,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,"$50,000","$50,000",,"M$50,000",REV MDS,,FI,06-03-2020,"// ADMISIBLE MIDESO 26-02-20 // E7964/2020 ENVIA INICIATIVA REVISIÓN MIDESO POR ORD. 101 DEL 18-02-20, CARGADO EN BIP 19-02-20 // E7500/2020 POSTULADO POR MUNICIPALIDAD POR ORD. 96 DEL 24-01-20, SE INFORMA POR CORREO A JEFATURAS 29-01-20 PARA PRIORIZACIÓN",ANÁLISIS.csv,2025-12-23T05:39:40.803307
40020204-2020,NO VIGENTE,2020,2020,40020204,0,CONSTRUCCION VEREDAS SECTOR LAJUELAS COMUNA DE SAN NICOLAS,PROYECTO,PUNILLA,PUNILLA,EJECUCIÓN,MIDESO,,31,0,0,MUNICIP. SAN NICOLÁS,MUNICIPIO,,,"$302,635","$302,635",,"M$302,635",NO PRIO INTEN MDS,,,,// ORD N°0043 E7223/2020  SE INFORMA A FORMULADOR QUE LA INICIATIVA PRESENTADA QUEDA INADMISIBLE POSTULACIONES NO ESTAN ABIERTAS.,ANÁLISIS.csv,2025-12-23T05:39:40.803384
40020534-2020,NO VIGENTE,2020,2020,40020534,0,TRANSFERENCIA FORTALECIMIENTO DE LA INNOVACIÓN REGIONAL DE ÑUBLE,PROGRAMA,REGIONAL,REGIONAL,EJECUCIÓN,GLOSA 5.1,,33,0,0,CORFO,SECTORIAL / OTRO,,,"$1,069,800","$797,800",,M$0,,,INADMISIBLE,13-02-2020,// E7867/2020 ENVÍO OFICIO 127 DEL 13-02-20 INFORMANDO INADMISIBILIDAD //E7694/2020 POSTULA PROGRAMA DE INVERSIÓN.,ANÁLISIS.csv,2025-12-23T05:39:40.803437
40020700-2021,EN PRESUPUESTO,2020,2021,40020700,0,"CONSTRUCCIÓN SEÑALES DE IDENTIFICACIÓN NOMBRE Y NUMERACIÓN DE CALLES, COMUNA DE SAN IGNACIO",PROYECTO,DIGUILLIN,SAN IGNACIO,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. SAN IGNACIO,MUNICIPIO,,,"$98,999","$98,999",,"M$98,999",,,RS,31-07-2020,"// RS DEL 31-07-20 // POR CORREO DEL 05-05-20 FORMULADOR INFORMA SUBSANACIÓN DE OBSERVACIONES // FI DEL 15-04-20 INFORMADO POR CORREO// SE ENVÍA CORREO A FORMULADOR SOLICITANDO PLANO EN DWG 01-04-20// POR CORREO DEL 27-03-20 SE INFORMA ADMISIBILIDAD GORE A FORMULADOR // E8705/2020 FRIL 2020, ASIGNADO ANALISTA PARA REVISIÓN 26-03-20//",ANÁLISIS.csv,2025-12-23T05:39:40.803531
40020750-2021,EN PRESUPUESTO,2020,2021,40020750,0,"CONSTRUCCIÓN APR SECTOR LOS CHIJETES, COMUNA DE COIHUECO",PROYECTO,PUNILLA,COIHUECO,EJECUCIÓN,FRIL,,33,3,125,MUNICIP. COIHUECO,MUNICIPIO,,,"$99,000","$99,000",,"M$99,000",APRO CORE,,RS,19-11-2020,"// APROBADO CORE CERT 214-2020 DEL 04-12-2020 // RS DEL 19-11-20 // FI DEK 17-06-20 // E8910/2020 POSTULADO FRIL 2020, ASIGNADO ANALISTA PARA REVISIÓN JAVIER BRITO 28-04-20//",ANÁLISIS.csv,2025-12-23T05:39:40.803589
40020826-2022,VIGENTE,2022,2022,40020826,0,"CONSTRUCCION CUBIERTA SOBRE GRADERIAS ESTADIO SILAS SMITH, SAN NICOLAS",PROYECTO,PUNILLA,SAN NICOLÁS,EJECUCIÓN,MIDESO,DEPORTIVO,31,2,,MUNICIP. SAN NICOLÁS,MUNICIPIO,MUNICIP. SAN NICOLÁS,,"M$3,767,728","M$3,767,728","M$3,767,728","M$3,767,728",ADMISIBLE,,ADMISIBLE,14-02-2022,"MIDESO, OF N°216, SIN ETAPA DE DISEÑO, Estudio Preinversional no posee Evaluación Económica de las alternativas de solución.",ANÁLISIS.csv,2025-12-23T05:39:40.803655
40020873-2020,NO VIGENTE,2020,2020,40020873,0,"ADQUISICIÓN DE CONTENEDORES DE RESIDUOS SOLIDOS DOMICILIARIOS PARA SECTORES RURALES DE LA COMUNA DE SAN CARLOS, ASOCIACION PUNILLA",PROYECTO,PUNILLA,SAN CARLOS,EJECUCIÓN,C-33,,29,0,0,ASOCIACIÓN PUNILLA,MUNICIPIO,,,"$207,060","$207,060",,"M$207,060",REVISAR,,,,// E7736/2020 	ORD N°020 DEL 07-02-2020 PRESENTA INICIATIVAS C33 AÑO PRESUPUESTARIO 2020,ANÁLISIS.csv,2025-12-23T05:39:40.803710
40020934-2021,EN PRESUPUESTO,2020,2021,40020934,0,TRANSFERENCIA PROGRAMA RECAMBIO DE CALEFACTORES CHILLÁN Y CHILLÁN VIEJO 2020 - 2021,PROGRAMA,DIGUILLIN,DIGUILLIN,EJECUCIÓN,GLOSA 5.1,,33,3,,MEDIO AMBIENTE,SECTORIAL / OTRO,,,"$4,500,000","$4,000,000",,"M$2,000,000",APRO CORE,,RS,04-05-2020,"// APROBADO POR CERTIFICADO 136/2020 DEL 25-05-20 ENVIADO POR CORREO 03-06-20 // PROGRAMADO COMISIÓN 18-05-20// E9052/2020 ENVIADO A CORE POR ORD. 330 DEL  05-05-20// OFICIO PARA ENVÍO A CORE ENVIADO A FIRMA DE INTENDENTE POR CORREO 04-05-20// RS DEL 04-05-20 INFORMADO POR CORREO A FORMULADOR 05-05-20// FI DEL 02-04-20 INFORMADO POR CORREO 03-04-20 // E8245/2020 FORMULADOR INGRESA ORD. 41/2020 DEL 28,02,20 CON SUBSANACIÓN DE OBSERVACIONES, DERIVADO ANALISTA PARA REVISIÓN 28-02-20 // FI DEL 24-02-20 INFORMADO POR CORREO 25-02-20// E7622/2020 POSTULA INICIATIVA, ASIGNADO ANALISTA PARA REVISIÓN 31-01-20",ANÁLISIS.csv,2025-12-23T05:39:40.803849
