TRAZO PRIMARIO,TRAZO SECUNDARIO,NOMBRE DE INICIATIVA,DIVISIÓN,BIP,COMUNA,"CONTRAPARTE TÉCNICA EXTERNA 
(NOMBRE.,  CARGO, CORREO, TELEFONO)","RESPONSABLE SEGUIMIENTO GORE
(NOMBRE.,  CARGO, CORREO, TELEFONO)",ESTADO,ETAPA A LA CUAL POSTULA,FORMULADOR,UNIDAD TÉCNICA,FUENTE FINANCIERA,ESTADO FINANCIERO,MONTO,HITO,MEDIDA,UNIDAD,ENE-MAR 2026,MAR-JUN 2026,JUN-SEP 2026,SEP-DIC 2026,ENE-MAR 2027,MAR-JUN 2027,JUN-SEP 2027,SEP-DIC 2027,ENE-MAR 2028,MAR-JUN 2028,JUN-SEP 2028,SEP-DIC 2028,2029  Y MÁS,FECHA DE INICIO,FECHA DE TERMINO,OBSERVACIÓN,ACCIÓN
AMARILLO,,TEMPLO CATÓLICO,DIPLADE,Sin información,PEMUCO,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,POLIDEPORTIVO (EN PARQUE RAMADERO),DIPLADE,Sin información,PINTO,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,"CESFAM PORTEZUELO
",DIPLADE,Sin información,PORTEZUELO,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,BOULEVARD LAGUNA,DIPLADE,Sin información,QUILLÓN,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,CECOF / GIMNASIO,DIPLADE,Sin información,QUIRIHUE,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,COMPLEJO DEPORTIVO EL BARCO,DIPLADE,Sin información,RANQUIL,,,EVALUACIÓN GORE,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,POLIDEPORTIVO SAN CARLOS,DIPLADE,Sin información,SAN CARLOS,,,EN FORMULACIÓN,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,CONSTRUCCION SISTEMA DE ALCANTARILLADO Y P.T.A.S LOCALIDAD DE SAN FABIAN DE ALICO,DIPLADE,Sin información,SAN FABIÁN,,,EN FORMULACIÓN,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,VIOLETA,ELEAM REGIONAL,DIPLADE,Sin información,SAN IGNACIO,,,EN FORMULACIÓN,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,CONSTRUCCIÓN PISCINA TEMPERADA,DIPLADE,Sin información,SAN NICOLAS,,,,SIN INFORMACIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,VIOLETA,CESFAM TREHUACO,DIPLADE,20138669-0,TREHUACO,,,RS,EJECUCIÓN,MUNICIPALIDAD,,,NO FINANCIADO,Sin información,,,,,,,,,,,,,,,,,,,,
AMARILLO,,LICEO DE YUNGAY,DIPLADE,30386411-0,YUNGAY,,,RS,EJECUCIÓN,MUNICIPALIDAD,MUNICIPALIDAD,"GORE - FNDR, SUBDERE",FINANCIADO,$16.023.500,INAUGURACIÓN,,,,,,,,,,,,,,,,,,,
